county_fips,pm25_ugm3,ozone_ppb,radon_zone
01001,8.77,34.5,2
01003,8.05,35.5,3
01005,8.69,34.7,2
01007,8.42,33.8,2
01009,8.93,36.9,2
01011,8.47,34.8,2
01013,7.82,34.5,3
01015,8.78,36.2,1
01017,9.05,35.7,3
01019,8.71,36.3,2
01021,8.41,34.3,2
01023,7.23,32.8,3
01025,7.52,33.7,3
01027,8.28,35.7,1
01029,8.37,36.1,1
01031,8.41,34.2,3
01033,8.05,36.9,1
01035,7.64,34.6,3
01037,8.36,34.6,1
01039,7.89,34.4,3
01041,8.06,34.6,3
01043,8.85,36.8,2
01045,8.64,34.4,3
01047,8.01,33.6,2
01049,8.75,37.0,2
01051,8.82,34.5,2
01053,7.81,34.5,3
01055,9.05,36.5,2
01057,8.01,34.7,2
01059,7.87,36.4,1
01061,8.35,34.1,3
01063,7.56,32.8,2
01065,7.72,32.8,2
01067,8.78,34.6,3
01069,8.88,34.6,3
01071,8.36,37.3,1
01073,9.83,36.2,2
01075,7.88,34.8,2
01077,7.98,37.0,1
01079,8.28,36.4,1
01081,9.33,35.4,2
01083,8.64,37.2,1
01085,8.17,34.4,2
01087,8.78,34.7,2
01089,8.88,37.6,1
01091,7.38,33.0,3
01093,7.81,35.6,2
01095,9.09,37.1,2
01097,8.58,35.5,3
01099,7.53,34.4,3
01101,9.12,34.8,2
01103,8.94,36.7,1
01105,7.74,33.2,2
01107,7.91,33.7,2
01109,8.35,34.6,3
01111,8.43,35.8,2
01113,9.51,35.4,2
01115,9.21,36.6,2
01117,9.45,35.5,2
01119,7.20,32.7,2
01121,8.78,35.8,1
01123,8.48,34.8,3
01125,8.62,33.4,2
01127,8.62,36.0,2
01129,7.71,33.8,3
01131,7.48,33.5,3
01133,8.19,36.1,2
04001,4.41,46.3,2
04003,6.23,46.5,2
04005,4.50,47.2,2
04007,4.87,49.3,2
04009,5.00,47.0,2
04011,4.98,46.8,2
04012,5.44,44.4,2
04013,8.13,49.3,2
04015,4.60,46.9,2
04017,4.53,47.0,2
04019,6.94,47.2,2
04021,7.53,48.4,2
04023,8.13,45.8,2
04025,4.84,47.8,2
04027,8.48,43.2,2
05001,8.14,36.9,3
05003,8.08,36.0,3
05005,7.76,37.0,2
05007,9.94,38.9,2
05009,7.91,37.8,2
05011,8.16,35.8,3
05013,8.45,35.7,3
05015,8.32,38.4,2
05017,7.92,36.4,3
05019,8.95,36.2,3
05021,8.63,37.9,3
05023,8.38,37.7,3
05025,8.21,36.2,3
05027,8.80,35.7,3
05029,8.87,37.2,3
05031,8.81,38.0,3
05033,9.42,37.6,3
05035,8.41,37.9,3
05037,8.27,37.6,3
05039,8.37,36.0,3
05041,7.92,36.5,3
05043,8.02,36.1,3
05045,9.32,37.4,3
05047,8.50,38.0,3
05051,8.87,37.0,2
05053,8.59,36.6,3
05055,8.76,37.9,3
05057,9.43,37.1,3
05059,8.87,36.5,3
05061,9.60,37.6,3
05063,8.36,37.7,2
05065,7.82,37.2,2
05067,8.51,37.6,3
05069,8.50,36.9,3
05071,8.53,37.5,3
05073,9.15,36.1,3
05075,8.52,37.5,3
05077,8.04,37.0,3
05079,8.14,36.6,3
05081,9.91,37.8,3
05083,8.74,37.4,3
05085,9.05,37.5,3
05087,8.21,38.7,3
05089,7.74,37.3,2
05091,9.97,37.5,3
05093,8.51,38.4,3
05095,8.16,37.0,3
05097,8.66,37.4,2
05099,9.02,36.4,3
05101,7.69,38.1,3
05103,8.75,35.7,3
05105,8.76,37.2,3
05107,7.89,36.8,3
05109,9.16,37.2,3
05111,8.55,38.1,3
05113,8.79,38.1,3
05115,8.70,37.3,3
05117,8.43,37.2,3
05119,9.47,37.1,3
05121,8.41,37.3,2
05123,8.16,37.3,3
05125,9.13,36.9,3
05127,8.55,37.6,3
05129,7.71,37.6,2
05131,9.53,37.5,3
05133,9.55,37.7,3
05135,7.94,37.2,2
05137,7.82,37.5,2
05139,8.74,35.5,3
05141,8.16,37.7,3
05143,9.45,39.0,3
05145,8.61,37.6,3
05147,8.34,37.4,3
05149,8.70,37.2,3
06001,8.41,32.9,2
06003,8.67,46.7,2
06005,9.45,42.6,2
06007,11.23,42.3,3
06009,9.20,43.1,2
06011,10.55,38.4,3
06013,8.88,34.0,2
06015,7.77,30.2,3
06017,10.62,45.1,2
06019,14.79,45.2,2
06021,11.15,40.2,3
06023,8.46,28.1,3
06025,8.54,41.6,3
06027,8.35,46.5,2
06029,13.53,46.5,2
06031,14.74,44.0,3
06033,8.40,36.6,3
06035,11.69,45.3,3
06037,11.94,43.4,2
06039,11.59,45.9,2
06041,7.58,30.7,3
06043,9.27,47.3,2
06045,8.60,31.6,3
06047,11.38,44.5,3
06049,10.01,42.5,3
06051,7.56,46.9,2
06053,5.11,34.3,2
06055,8.36,34.5,3
06057,9.31,46.8,2
06059,12.05,41.8,3
06061,10.58,43.8,2
06063,11.61,45.8,2
06065,10.61,51.3,2
06067,10.42,40.4,3
06069,5.82,36.9,2
06071,11.87,53.5,2
06073,9.73,42.6,3
06075,7.65,30.1,2
06077,11.44,38.8,3
06079,6.65,36.9,2
06081,7.19,31.1,2
06083,6.50,34.5,1
06085,8.02,36.7,2
06087,5.70,33.7,2
06089,11.98,40.1,3
06091,8.60,47.3,2
06093,12.69,39.2,3
06095,8.83,35.3,3
06097,7.89,31.9,3
06099,12.76,42.7,3
06101,11.79,40.9,3
