county_fips,gea_region,lrmer_kgco2e_kwh
01001,SERTP,0.2362
01003,SERTP,0.2362
01005,SERTP,0.2362
01007,SERTP,0.2362
01009,SERTP,0.2362
01011,SERTP,0.2362
01013,SERTP,0.2362
01015,SERTP,0.2362
01017,SERTP,0.2362
01019,SERTP,0.2362
01021,SERTP,0.2362
01023,SERTP,0.2362
01025,SERTP,0.2362
01027,SERTP,0.2362
01029,SERTP,0.2362
01031,SERTP,0.2362
01033,SERTP,0.2362
01035,SERTP,0.2362
01037,SERTP,0.2362
01039,SERTP,0.2362
01041,SERTP,0.2362
01043,SERTP,0.2362
01045,SERTP,0.2362
01047,SERTP,0.2362
01049,SERTP,0.2362
01051,SERTP,0.2362
01053,SERTP,0.2362
01055,SERTP,0.2362
01057,SERTP,0.2362
01059,SERTP,0.2362
01061,SERTP,0.2362
01063,SERTP,0.2362
01065,SERTP,0.2362
01067,SERTP,0.2362
01069,SERTP,0.2362
01071,SERTP,0.2362
01073,SERTP,0.2362
01075,SERTP,0.2362
01077,SERTP,0.2362
01079,SERTP,0.2362
01081,SERTP,0.2362
01083,SERTP,0.2362
01085,SERTP,0.2362
01087,SERTP,0.2362
01089,SERTP,0.2362
01091,SERTP,0.2362
01093,SERTP,0.2362
01095,SERTP,0.2362
01097,SERTP,0.2362
01099,SERTP,0.2362
01101,SERTP,0.2362
01103,SERTP,0.2362
01105,SERTP,0.2362
01107,SERTP,0.2362
01109,SERTP,0.2362
01111,SERTP,0.2362
01113,SERTP,0.2362
01115,SERTP,0.2362
01117,SERTP,0.2362
01119,SERTP,0.2362
01121,SERTP,0.2362
01123,SERTP,0.2362
01125,SERTP,0.2362
01127,SERTP,0.2362
01129,SERTP,0.2362
01131,SERTP,0.2362
01133,SERTP,0.2362
04001,WestConnect_South,0.139
04003,WestConnect_South,0.139
04005,WestConnect_South,0.139
04007,WestConnect_South,0.139
04009,WestConnect_South,0.139
04011,WestConnect_South,0.139
04012,WestConnect_South,0.139
04013,WestConnect_South,0.139
04015,WestConnect_South,0.139
04017,WestConnect_South,0.139
04019,WestConnect_South,0.139
04021,WestConnect_South,0.139
04023,WestConnect_South,0.139
04025,WestConnect_South,0.139
04027,WestConnect_South,0.139
05001,MISO_South,0.1866
05003,MISO_South,0.1866
05005,MISO_South,0.1866
05007,SPP_South,0.17
05009,SPP_South,0.17
05011,MISO_South,0.1866
05013,MISO_South,0.1866
05015,SPP_South,0.17
05017,MISO_South,0.1866
05019,MISO_South,0.1866
05021,MISO_South,0.1866
05023,SPP_South,0.17
05025,MISO_South,0.1866
05027,MISO_South,0.1866
05029,MISO_South,0.1866
05031,MISO_South,0.1866
05033,SPP_South,0.17
05035,MISO_South,0.1866
05037,MISO_South,0.1866
05039,MISO_South,0.1866
05041,MISO_South,0.1866
05043,MISO_South,0.1866
05045,MISO_South,0.1866
05047,SPP_South,0.17
05049,MISO_South,0.1866
05051,MISO_South,0.1866
05053,MISO_South,0.1866
05055,MISO_South,0.1866
05057,MISO_South,0.1866
05059,MISO_South,0.1866
05061,SPP_South,0.17
05063,MISO_South,0.1866
05065,MISO_South,0.1866
05067,MISO_South,0.1866
05069,MISO_South,0.1866
05071,SPP_South,0.17
05073,MISO_South,0.1866
05075,MISO_South,0.1866
05077,MISO_South,0.1866
05079,MISO_South,0.1866
05081,MISO_South,0.1866
05083,SPP_South,0.17
05085,MISO_South,0.1866
