geoid,geo_level,county_name,state,heat_days95_hist,heat_days95_low,heat_days95_high,heat_days100_hist,heat_days100_low,heat_days100_high,precip_days1in_hist,precip_days1in_low,precip_days1in_high,precip_max5day_hist,precip_max5day_low,precip_max5day_high,drought_consecdd_hist,drought_consecdd_low,drought_consecdd_high
01001,county,Autauga County,AL,17.66,55.418,65.101,1.231,15.185,21.324,10.119,10.656,11.012,5.125,5.377,5.566,16.069,16.543,16.756
01003,county,Baldwin County,AL,10.205,41.594,52.588,0.429,5.385,9.239,13.8,14.074,14.594,6.768,7.158,7.671,15.576,15.869,16.115
01005,county,Barbour County,AL,16.953,53.545,63.374,0.871,13.536,19.63,9.026,9.394,9.741,5.134,5.294,5.624,16.543,17.018,17.401
01007,county,Bibb County,AL,17.051,51.129,60.29,1.728,14.493,20.071,10.503,11.164,11.592,4.995,5.29,5.382,15.259,15.856,15.742
01009,county,Blount County,AL,10.79,38.649,47.331,1.033,10.362,15.184,9.43,10.121,10.524,4.897,5.267,5.405,14.818,15.529,15.492
01011,county,Bullock County,AL,14.583,48.273,58.787,0.875,11.468,17.239,9.597,9.996,10.261,5.064,5.19,5.427,16.9,17.205,17.581
01013,county,Butler County,AL,17.391,56.163,65.891,0.957,12.289,18.795,10.569,10.929,11.266,5.574,5.791,6.005,16.112,16.845,16.956
01015,county,Calhoun County,AL,9.577,38.959,47.839,0.713,9.588,14.426,9.595,10.264,10.721,4.893,5.25,5.395,14.482,15.083,15.264
01017,county,Chambers County,AL,11.802,44.106,53.618,0.727,10.694,15.612,9.141,9.747,10.103,4.937,5.132,5.289,14.585,15.129,15.314
01019,county,Cherokee County,AL,9.785,37.99,46.598,0.911,10.081,14.542,8.65,9.508,9.9,4.713,5.054,5.221,13.797,14.427,14.582
01021,county,Chilton County,AL,14.188,45.492,54.545,1.14,12.027,17.282,9.748,10.356,10.741,4.929,5.206,5.323,15.412,15.925,16.055
01023,county,Choctaw County,AL,19.875,59.656,69.916,1.667,15.605,22.296,10.053,10.403,10.817,4.978,5.281,5.427,15.321,15.781,15.957
01025,county,Clarke County,AL,20.749,60.722,71.053,1.779,14.981,21.422,10.812,11.28,11.512,5.477,5.822,5.995,15.919,16.515,16.685
01027,county,Clay County,AL,5.773,29.547,37.203,0.232,5.46,9.235,10.599,11.4,11.837,5.131,5.484,5.596,14.776,15.388,15.662
01029,county,Cleburne County,AL,5.127,28.037,35.946,0.293,5.4,8.933,9.296,9.981,10.45,4.791,5.102,5.259,14.364,14.79,15.068
01031,county,Coffee County,AL,16.743,51.762,62.872,0.995,12.087,18.21,10.559,10.954,11.299,5.839,6.068,6.3,16.227,16.645,16.975
01033,county,Colbert County,AL,13.039,43.586,52.57,1.24,13.315,18.974,10.96,11.624,12.027,5.423,5.745,5.79,14.711,15.448,15.185
01035,county,Conecuh County,AL,16.845,53.064,63.854,1.05,11.464,17.861,11.733,12.037,12.506,5.839,6.137,6.372,15.715,16.256,16.427
01037,county,Coosa County,AL,11.465,41.768,50.615,0.679,10.211,15.272,9.447,10.074,10.446,4.857,5.137,5.27,15.137,15.652,15.899
01039,county,Covington County,AL,19.561,58.264,69.359,1.229,13.532,20.45,10.962,11.351,11.751,6.197,6.532,6.751,15.597,16.034,16.349
01041,county,Crenshaw County,AL,15.641,51.864,62.802,0.929,12.014,18.053,10.584,10.965,11.326,5.564,5.823,6.002,16.328,16.956,17.131
01043,county,Cullman County,AL,11.8,40.596,49.299,1.09,11.351,16.688,10.044,10.84,11.177,4.911,5.28,5.395,14.043,14.635,14.731
01045,county,Dale County,AL,18.177,57.131,67.723,1.185,13.656,19.891,9.572,9.951,10.294,5.404,5.644,5.835,16.504,16.863,17.185
01047,county,Dallas County,AL,19.764,60.344,70.192,1.634,17.071,23.622,9.451,9.913,10.259,4.971,5.24,5.448,16.231,16.725,16.785
01049,county,DeKalb County,AL,4.716,25.305,32.505,0.332,5.802,9.067,9.246,10.178,10.57,4.698,5.103,5.284,14.103,14.805,14.759
01051,county,Elmore County,AL,14.645,49.428,58.64,0.785,12.646,18.342,9.71,10.241,10.614,5.12,5.331,5.526,15.357,15.815,15.881
01053,county,Escambia County,AL,18.877,58.356,69.39,1.113,12.076,18.843,12.307,12.644,13.152,6.147,6.454,6.814,15.385,15.907,16.04
01055,county,Etowah County,AL,10.285,40.07,48.997,1.025,11.274,16.121,8.622,9.423,9.79,4.65,4.957,5.085,14.116,14.755,14.805
