county_fips,iecc_zone
01001,3A
01003,2A
01005,3A
01007,3A
01009,3A
01011,3A
01013,3A
01015,3A
01017,3A
01019,3A
01021,3A
01023,3A
01025,3A
01027,3A
01029,3A
01031,2A
01033,3A
01035,3A
01037,3A
01039,2A
01041,3A
01043,3A
01045,2A
01047,3A
01049,3A
01051,3A
01053,2A
01055,3A
01057,3A
01059,3A
01061,2A
01063,3A
01065,3A
01067,2A
01069,2A
01071,3A
01073,3A
01075,3A
01077,3A
01079,3A
01081,3A
01083,3A
01085,3A
01087,3A
01089,3A
01091,3A
01093,3A
01095,3A
01097,2A
01099,3A
01101,3A
01103,3A
01105,3A
01107,3A
01109,3A
01111,3A
01113,3A
01115,3A
01117,3A
01119,3A
01121,3A
01123,3A
01125,3A
01127,3A
01129,3A
01131,3A
01133,3A
02013,7
02016,7
02020,7
02050,7
02060,7
02068,8
02070,7
02090,8
02100,6A
02105,6A
02110,6A
02122,7
02130,5C
02150,6A
02158,8
02164,7
02170,7
02180,8
02185,8
02188,8
02195,6A
02198,5C
02220,5C
02230,6A
02240,8
02261,7
02275,6A
02282,7
02290,8
04001,5B
04003,3B
04005,5B
04007,4B
04009,3B
04011,3B
04012,2B
04013,2B
04015,3B
04017,5B
04019,2B
04021,2B
04023,3B
04025,4B
04027,2B
05001,3A
05003,3A
05005,4A
05007,4A
05009,4A
05011,3A
05013,3A
05015,4A
05017,3A
05019,3A
05021,3A
05023,3A
05025,3A
05027,3A
05029,3A
05031,3A
05033,3A
05035,3A
05037,3A
05039,3A
05041,3A
05043,3A
05045,3A
05047,3A
05049,4A
05051,3A
05053,3A
05055,3A
05057,3A
05059,3A
05061,3A
05063,3A
05065,4A
05067,3A
05069,3A
05071,3A
05073,3A
05075,3A
05077,3A
05079,3A
05081,3A
05083,3A
05085,3A
05087,4A
05089,4A
05091,3A
05093,3A
05095,3A
05097,3A
05099,3A
05101,4A
05103,3A
05105,3A
05107,3A
05109,3A
05111,3A
05113,3A
05115,3A
05117,3A
05119,3A
05121,3A
05123,3A
05125,3A
05127,3A
05129,4A
05131,3A
05133,3A
05135,3A
05137,4A
05139,3A
05141,3A
05143,4A
05145,3A
05147,3A
05149,3A
06001,3C
06003,6B
06005,4B
06007,3B
06009,4B
06011,3B
06013,3B
06015,4C
06017,4B
06019,3B
06021,3B
06023,4C
06025,2B
06027,4B
06029,3B
06031,3B
06033,4B
06035,5B
06037,3B
06039,3B
06041,3C
06043,4B
06045,3C
06047,3B
06049,5B
06051,6B
06053,3C
06055,3C
06057,5B
06059,3B
06061,3B
06063,5B
06065,3B
06067,3B
06069,3C
06071,3B
06073,3B
06075,3C
06077,3B
06079,3C
06081,3C
06083,3C
06085,3C
06087,3C
06089,3B
06091,5B
06093,5B
06095,3B
06097,3C
06099,3B
06101,3B
06103,3B
06105,4B
06107,3B
06109,4B
06111,3C
06113,3B
06115,3B
08001,5B
08003,6B
08005,5B
08007,6B
08009,4B
08011,4B
08013,5B
08014,5B
08015,6B
08017,5B
08019,7
08021,6B
08023,6B
08025,5B
08027,5B
08029,5B
08031,5B
08033,6B
08035,5B
08037,6B
08039,5B
08041,5B
08043,5B
08045,5B
08047,5B
08049,7
08051,7
08053,7
08055,5B
08057,7
08059,5B
08061,5B
08063,5B
08065,7
08067,5B
08069,5B
08071,4B
08073,5B
08075,5B
08077,5B
08079,7
08081,6B
08083,5B
08085,5B
08087,5B
08089,4B
08091,6B
08093,7
08095,5B
08097,7
08099,4B
08101,5B
08103,6B
08105,7
08107,7
08109,6B
08111,7
08113,6B
08115,5B
08117,7
08119,5B
08121,5B
08123,5B
08125,5B
09001,5A
09003,5A
09005,5A
09007,5A
09009,5A
09011,5A
09013,5A
09015,5A
10001,4A
10003,4A
10005,4A
11001,4A
12001,2A
12003,2A
12005,2A
12007,2A
12009,2A
12011,1A
12013,2A
12015,2A
12017,2A
12019,2A
12021,2A
12023,2A
12027,2A
12029,2A
12031,2A
12033,2A
12035,2A
12037,2A
12039,2A
12041,2A
12043,2A
12045,2A
12047,2A
12049,2A
12051,2A
12053,2A
12055,2A
12057,2A
12059,2A
12061,2A
12063,2A
12065,2A
12067,2A
12069,2A
12071,2A
12073,2A
12075,2A
12077,2A
12079,2A
12081,2A
12083,2A
12085,2A
12086,1A
12087,1A
12089,2A
12091,2A
12093,2A
12095,2A
12097,2A
12099,1A
12101,2A
12103,2A
12105,2A
12107,2A
12109,2A
12111,2A
12113,2A
12115,2A
12117,2A
12119,2A
12121,2A
12123,2A
12125,2A
12127,2A
12129,2A
12131,2A
12133,2A
13001,2A
13003,2A
13005,2A
13007,2A
13009,3A
13011,3A
13013,3A
13015,3A
13017,3A
13019,2A
13021,3A
13023,3A
13025,2A
13027,2A
13029,2A
13031,3A
13033,3A
13035,3A
13037,2A
13039,2A
13043,3A
13045,3A
13047,3A
13049,2A
13051,2A
13053,3A
13055,3A
13057,3A
13059,3A
13061,3A
13063,3A
13065,2A
13067,3A
13069,2A
13071,2A
13073,3A
13075,2A
13077,3A
13079,3A
13081,3A
13083,3A
13085,3A
13087,2A
13089,3A
13091,3A
13093,3A
13095,2A
13097,3A
13099,2A
13101,2A
13103,2A
13105,3A
13107,3A
13109,2A
13111,3A
13113,3A
13115,3A
13117,3A
13119,3A
13121,3A
13123,3A
13125,3A
13127,2A
13129,3A
13131,2A
13133,3A
13135,3A
13137,3A
13139,3A
13141,3A
13143,3A
13145,3A
13147,3A
13149,3A
13151,3A
13153,3A
13155,3A
13157,3A
13159,3A
13161,2A
13163,3A
13165,3A
13167,3A
13169,3A
13171,3A
13173,2A
13175,3A
13177,3A
13179,2A
13181,3A
13183,2A
13185,2A
13187,3A
13189,3A
13191,2A
13193,3A
13195,3A
13197,3A
13199,3A
13201,2A
13205,2A
13207,3A
13209,3A
13211,3A
13213,3A
13215,3A
13217,3A
13219,3A
13221,3A
13223,3A
13225,3A
13227,3A
13229,2A
13231,3A
13233,3A
13235,3A
13237,3A
13239,3A
13241,3A
13243,3A
13245,3A
13247,3A
13249,3A
13251,3A
13253,2A
13255,3A
13257,3A
13259,3A
13261,3A
13263,3A
13265,3A
13267,2A
13269,3A
13271,3A
13273,3A
13275,2A
13277,2A
13279,2A
13281,3A
13283,3A
13285,3A
13287,3A
13289,3A
13291,3A
13293,3A
13295,3A
13297,3A
13299,2A
13301,3A
13303,3A
13305,2A
13307,3A
13309,3A
13311,3A
13313,3A
13315,3A
13317,3A
13319,3A
13321,2A
15001,1A
15003,1A
15005,1A
15007,1A
15009,1A
16001,5B
16003,6B
16005,6B
16007,6B
16009,5B
16011,6B
16013,6B
16015,6B
16017,6B
16019,6B
16021,6B
16023,6B
16025,6B
16027,5B
16029,6B
16031,5B
16033,6B
16035,5B
16037,6B
16039,5B
16041,6B
16043,6B
16045,5B
16047,5B
16049,5B
16051,6B
16053,5B
16055,5B
16057,5B
16059,6B
16061,5B
16063,5B
16065,6B
16067,5B
16069,5B
16071,6B
16073,5B
16075,5B
16077,5B
16079,5B
16081,6B
16083,5B
16085,6B
16087,5B
17001,5A
17003,4A
17005,4A
17007,5A
17009,5A
17011,5A
17013,4A
17015,5A
17017,5A
17019,5A
17021,4A
17023,4A
17025,4A
17027,4A
17029,4A
17031,5A
17033,4A
17035,4A
17037,5A
17039,5A
17041,5A
17043,5A
17045,5A
17047,4A
17049,4A
17051,4A
17053,5A
17055,4A
17057,5A
17059,4A
17061,4A
17063,5A
17065,4A
17067,5A
17069,4A
17071,5A
17073,5A
17075,5A
17077,4A
17079,4A
17081,4A
17083,4A
17085,5A
17087,4A
17089,5A
17091,5A
17093,5A
17095,5A
17097,5A
17099,5A
17101,4A
17103,5A
17105,5A
