geoid,name,housing_units,du_acre_urban,du_acre_rural,du_acre
01001,"Autauga, Alabama",24350,1.03938,0.02725,0.233299
01003,"Baldwin, Alabama",124148,0.950667,0.043818,0.346328
01005,"Barbour, Alabama",11618,1.023478,0.013403,0.061436
01007,"Bibb, Alabama",9002,,0.022596,0.022596
01009,"Blount, Alabama",24622,0.816448,0.05449,0.070051
01011,"Bullock, Alabama",4516,,0.01133,0.01133
01013,"Butler, Alabama",9806,0.805406,0.014012,0.046244
01015,"Calhoun, Alabama",53052,0.729546,0.055294,0.291737
01017,"Chambers, Alabama",16373,0.793888,0.022564,0.128103
01019,"Cherokee, Alabama",14513,,0.040968,0.040968
01021,"Chilton, Alabama",19438,0.489813,0.037821,0.055355
01023,"Choctaw, Alabama",7104,,0.012151,0.012151
01025,"Clarke, Alabama",11655,,0.014705,0.014705
01027,"Clay, Alabama",7035,,0.0182,0.0182
01029,"Cleburne, Alabama",6801,,0.018972,0.018972
01031,"Coffee, Alabama",24105,0.920799,0.027975,0.166914
01033,"Colbert, Alabama",27666,1.012099,0.030926,0.245519
01035,"Conecuh, Alabama",6382,,0.011728,0.011728
01037,"Coosa, Alabama",5999,,0.014401,0.014401
01039,"Covington, Alabama",18596,0.757208,0.01956,0.061736
01041,"Crenshaw, Alabama",6516,,0.016722,0.016722
01043,"Cullman, Alabama",39145,0.678523,0.064978,0.11482
01045,"Dale, Alabama",22761,0.569131,0.033968,0.136524
01047,"Dallas, Alabama",18880,0.894714,0.013678,0.139029
01049,"DeKalb, Alabama",30584,0.602709,0.055407,0.071878
01051,"Elmore, Alabama",36818,0.816803,0.068611,0.139464
01053,"Escambia, Alabama",16684,0.854145,0.01752,0.07446
01055,"Etowah, Alabama",47306,0.69358,0.064222,0.261251
01057,"Fayette, Alabama",7760,,0.019317,0.019317
01059,"Franklin, Alabama",13912,0.864931,0.025083,0.066768
01061,"Geneva, Alabama",12452,0.945656,0.033723,0.034223
01063,"Greene, Alabama",4205,,0.010155,0.010155
01065,"Hale, Alabama",7399,,0.017952,0.017952
01067,"Henry, Alabama",9058,,0.025194,0.025194
01069,"Houston, Alabama",49282,1.002269,0.0481,0.367889
01071,"Jackson, Alabama",24627,0.644874,0.026813,0.061225
01073,"Jefferson, Alabama",307927,1.133787,0.071557,0.838772
01075,"Lamar, Alabama",7071,,0.018267,0.018267
01077,"Lauderdale, Alabama",44585,1.175405,0.055222,0.249882
01079,"Lawrence *, Alabama",15225,1.48563,0.034441,0.034449
01081,"Lee, Alabama",74856,1.024848,0.057029,0.490966
01083,"Limestone, Alabama",42692,0.787554,0.066087,0.220369
01085,"Lowndes, Alabama",4779,,0.010428,0.010428
01087,"Macon, Alabama",9604,0.825802,0.013718,0.087097
01089,"Madison, Alabama",169820,1.080004,0.07199,0.697212
01091,"Marengo, Alabama",9777,1.025652,0.010913,0.043705
01093,"Marion, Alabama",14073,,0.029621,0.029621
01095,"Marshall, Alabama",41245,0.697135,0.067706,0.192962
01097,"Mobile, Alabama",184441,1.027206,0.06091,0.562463
01099,"Monroe, Alabama",10127,0.71697,0.012089,0.029693
01101,"Montgomery, Alabama",105293,1.348734,0.028252,0.860173
01103,"Morgan, Alabama",53265,0.925245,0.060317,0.328126
01105,"Perry, Alabama",3933,,0.008539,0.008539
01107,"Pickens, Alabama",8646,,0.015327,0.015327
01109,"Pike, Alabama",15977,1.091937,0.021517,0.116069
01111,"Randolph, Alabama",12400,,0.033374,0.033374
01113,"Russell, Alabama",27253,1.215261,0.026578,0.277047
01115,"St. Clair, Alabama",37775,0.6226,0.065465,0.139125
01117,"Shelby, Alabama",89060,0.891,0.050512,0.444687
01119,"Sumter, Alabama",6279,,0.010855,0.010855
01121,"Talladega, Alabama",37948,0.706572,0.049254,0.149558
01123,"Tallapoosa, Alabama",22686,0.706748,0.040366,0.07058
01125,"Tuscaloosa, Alabama",101460,1.269628,0.037805,0.451917
01127,"Walker, Alabama",29975,0.540863,0.04882,0.077632
01129,"Washington, Alabama",7712,,0.011155,0.011155
01131,"Wilcox, Alabama",5261,,0.009259,0.009259
01133,"Winston, Alabama",13015,,0.033175,0.033175
02013,"Aleutians East, Alaska",679,,0.000152,0.000152
02016,"Aleutians West, Alaska",1331,,0.000473,0.000473
02020,"Anchorage, Alaska",118640,1.617032,0.005332,1.243622
02050,"Bethel, Alaska",5984,0.182919,0.000163,0.001278
02060,"Bristol Bay, Alaska",857,,0.002778,0.002778
02063,"Chugach, Alaska",3565,,0.000585,0.000585
02066,"Copper River, Alaska",2769,,0.000175,0.000175
02068,"Denali, Alaska",1606,,0.000199,0.000199
02070,"Dillingham, Alaska",2405,,0.000205,0.000205
02090,"Fairbanks North Star, Alaska",42659,0.634652,0.002686,0.128297
02100,"Haines, Alaska",1370,,0.000913,0.000913
02105,"Hoonah-Angoon, Alaska",1777,,0.000424,0.000424
02110,"Juneau, Alaska",14093,1.158829,0.00182,0.275863
02122,"Kenai Peninsula, Alaska",32622,0.535675,0.002579,0.007123
02130,"Ketchikan Gateway, Alaska",6614,0.36018,0.000374,0.108387
02150,"Kodiak Island, Alaska",5825,1.190776,0.000474,0.078095
02158,"Kusilvak, Alaska",2342,,0.000214,0.000214
02164,"Lake and Peninsula, Alaska",1469,,9.6e-05,9.6e-05
02170,"Matanuska-Susitna, Alaska",51077,0.555911,0.001938,0.01879
02180,"Nome, Alaska",4095,,0.000279,0.000279
02185,"North Slope, Alaska",2619,,4.6e-05,4.6e-05
02188,"Northwest Arctic, Alaska",2717,,0.000119,0.000119
02195,"Petersburg, Alaska",1718,,0.000925,0.000925
02198,"Prince of Wales-Hyder, Alaska",3227,,0.000957,0.000957
02220,"Sitka, Alaska",4139,0.868027,0.00026,0.341398
02230,"Skagway, Alaska",760,,0.002737,0.002737
02240,"Southeast Fairbanks, Alaska",3513,,0.000221,0.000221
02275,"Wrangell, Alaska",1273,,0.000778,0.000778
02282,"Yakutat, Alaska",441,,9e-05,9e-05
02290,"Yukon-Koyukuk, Alaska",4014,,4.3e-05,4.3e-05
04001,"Apache, Arizona",28723,,0.004008,0.004008
04003,"Cochise, Arizona",58648,1.434103,0.005641,0.175019
04005,"Coconino, Arizona",69108,1.353955,0.002278,0.110889
04007,"Gila, Arizona",32373,1.155389,0.005305,0.079728
04009,"Graham, Arizona",13704,1.115068,0.002115,0.064165
04011,"Greenlee, Arizona",4389,,0.003723,0.003723
04012,"La Paz, Arizona",13457,1.388189,0.001984,0.086628
04013,"Maricopa, Arizona",1812827,2.26591,0.007385,2.011488
04015,"Mohave, Arizona",117650,1.521853,0.003311,0.35278
04017,"Navajo, Arizona",56180,1.007929,0.004404,0.067746
04019,"Pima, Arizona",470132,1.743164,0.006585,1.122556
04021,"Pinal, Arizona",172878,1.845359,0.010902,0.622053
04023,"Santa Cruz, Arizona",18729,0.90291,0.014552,0.073269
04025,"Yavapai, Arizona",121154,1.261242,0.007773,0.235908
04027,"Yuma, Arizona",92048,2.181913,0.00336,0.955679
05001,"Arkansas, Arkansas",8671,1.077726,0.007322,0.075327
05003,"Ashley, Arkansas",9371,0.615641,0.009924,0.047402
05005,"Baxter, Arkansas",22699,0.882822,0.03947,0.137452
05007,"Benton, Arkansas",113088,1.005901,0.061181,0.502679
05009,"Boone, Arkansas",17368,0.857394,0.028604,0.108275
05011,"Bradley, Arkansas",5073,0.635844,0.006036,0.065068
05013,"Calhoun, Arkansas",2444,,0.006075,0.006075
05015,"Carroll, Arkansas",13853,0.750179,0.029577,0.04726
05017,"Chicot, Arkansas",5104,,0.01252,0.01252
05019,"Clark, Arkansas",9977,1.059664,0.01049,0.073377
05021,"Clay, Arkansas",7470,,0.018259,0.018259
05023,"Cleburne, Arkansas",15527,0.772066,0.033431,0.072685
05025,"Cleveland, Arkansas",3570,,0.009329,0.009329
05027,"Columbia, Arkansas",10999,0.797995,0.013444,0.071019
05029,"Conway, Arkansas",9646,0.824801,0.018955,0.061766
05031,"Craighead, Arkansas",46739,1.058822,0.036024,0.351832
05033,"Crawford, Arkansas",25300,0.945659,0.034968,0.176891
05035,"Crittenden, Arkansas",21291,1.16934,0.011413,0.457984
05037,"Cross, Arkansas",7585,0.969717,0.010748,0.080061
05039,"Dallas, Arkansas",3468,,0.00812,0.00812
05041,"Desha, Arkansas",5795,1.077802,0.007731,0.047995
