geoid,physical_inactivity_pct,obesity_pct,diabetes_pct,mental_distress_pct,asthma_pct,high_bp_pct,chd_pct,health_index,totalpop18plus
01001,26.9,39.7,13.2,17.3,10.1,41.3,6.6,36.9,44523.0
01003,25.3,35.2,13.4,15.3,9.4,43.6,7.6,43.1,182471.0
01005,36.2,47.2,19.8,18.6,10.9,50.5,9.4,13.0,20134.0
01007,33.2,44.2,16.1,19.3,10.5,45.8,8.2,18.9,17533.0
01009,29.0,36.2,13.7,17.8,10.1,41.1,7.9,31.5,45403.0
01011,45.1,52.4,25.3,20.7,11.8,57.5,10.7,5.2,8356.0
01013,36.8,40.5,19.0,18.4,10.9,51.1,9.2,15.9,14903.0
01015,32.4,38.8,15.0,18.8,10.8,45.0,7.7,25.7,92283.0
01017,34.1,41.3,17.8,18.3,10.7,48.3,8.6,18.2,27791.0
01019,31.4,39.8,16.0,17.7,10.3,45.7,9.5,22.2,20169.0
01021,31.3,40.2,14.2,18.4,10.1,43.2,7.6,26.0,34385.0
01023,36.2,45.0,20.1,18.0,11.0,52.6,9.8,12.9,10168.0
01025,34.4,44.1,18.6,18.0,10.9,49.9,8.7,15.1,18249.0
01027,32.6,42.6,16.6,18.1,10.5,47.6,9.3,18.8,11299.0
01029,30.7,37.7,14.9,18.2,10.1,43.3,8.5,25.9,11620.0
01031,30.0,40.8,14.8,17.9,10.3,43.2,7.7,29.6,40774.0
01033,28.6,37.7,15.2,17.6,10.5,44.3,8.0,28.6,45078.0
01035,38.9,46.6,21.8,18.6,11.2,54.2,10.7,9.9,9277.0
01037,33.1,42.4,18.0,17.5,10.5,49.1,9.2,18.4,8603.0
01039,32.1,38.2,16.7,18.1,10.4,46.8,9.3,22.2,29387.0
01041,32.6,40.4,16.8,18.0,10.6,47.2,8.7,19.1,10360.0
01043,27.4,36.5,13.5,17.9,10.0,42.4,8.0,32.4,68240.0
01045,31.8,41.4,15.9,18.8,10.5,44.0,8.1,23.8,38048.0
01047,38.0,46.7,22.3,18.8,11.7,54.9,9.4,10.4,29613.0
01049,33.7,38.7,15.7,19.2,10.4,44.5,8.9,21.4,53920.0
01051,26.4,39.1,13.3,17.5,10.0,42.2,6.9,35.1,69005.0
01053,35.8,43.9,18.9,19.6,11.0,49.1,9.6,13.5,28575.0
01055,33.4,43.6,16.5,18.3,10.4,46.3,8.6,22.2,81121.0
01057,32.7,40.6,16.8,18.2,10.4,48.0,9.5,19.1,12791.0
01059,33.8,42.2,16.1,19.0,10.2,43.9,8.7,20.5,23931.0
01061,31.9,42.3,16.5,18.3,10.6,45.7,9.3,18.5,20820.0
01063,44.2,53.4,26.7,19.4,12.3,59.1,11.2,5.3,6070.0
01065,36.3,47.9,20.1,18.6,11.5,51.4,9.0,14.1,11483.0
01067,31.6,41.5,17.4,16.9,10.5,48.6,9.1,24.7,13641.0
01069,29.4,40.6,16.0,18.4,10.6,44.6,8.0,27.1,82646.0
01071,32.6,39.4,16.2,18.7,10.5,46.1,9.3,19.8,41768.0
01073,28.4,37.3,15.4,17.0,10.0,42.3,6.7,41.1,527087.0
01075,32.4,41.1,16.8,18.4,10.5,47.9,9.5,17.8,11019.0
01077,27.3,36.2,13.3,17.6,10.1,40.3,7.6,36.6,74908.0
01079,31.1,39.7,15.6,18.3,10.6,44.6,8.4,22.1,25878.0
01081,25.5,38.4,11.6,18.6,10.3,36.1,5.3,45.4,136444.0
01083,25.4,39.3,12.5,16.5,9.8,40.6,6.6,41.4,79718.0
01085,41.4,51.6,24.5,19.3,11.8,57.0,10.6,7.0,8283.0
01087,35.6,47.4,20.0,19.3,11.9,50.6,8.0,16.7,16226.0
01089,23.2,39.9,12.2,15.9,9.6,38.5,5.9,49.4,304143.0
01091,35.3,43.8,20.6,18.0,11.2,52.4,9.1,15.1,15053.0
01093,32.2,42.6,15.5,18.6,10.4,45.6,9.2,19.3,23264.0
01095,30.9,37.6,14.5,17.9,9.9,41.8,7.8,29.5,73530.0
01097,30.8,38.8,16.3,17.4,9.8,42.8,7.4,34.1,319427.0
01099,36.6,43.9,19.4,18.8,11.2,51.0,9.4,11.7,15562.0
01101,30.6,45.7,16.3,17.3,10.8,45.5,6.9,30.7,177427.0
01103,30.1,38.7,14.8,17.0,10.1,44.5,7.7,31.3,95485.0
01105,41.0,52.4,23.8,20.0,11.9,55.7,10.3,7.0,6740.0
01107,35.6,48.6,18.4,18.7,11.2,48.9,8.8,13.8,15447.0
01109,28.8,40.8,14.5,19.6,11.1,41.8,7.0,28.0,26809.0
01111,29.9,38.0,16.1,17.8,10.4,46.0,8.7,23.5,17264.0
01113,33.2,42.7,17.2,19.1,11.1,46.3,7.7,18.6,44681.0
01115,27.4,39.5,13.0,17.6,10.1,41.5,7.1,33.9,70092.0
01117,20.6,31.8,10.8,15.0,9.5,39.2,5.5,59.3,170472.0
01119,36.1,48.6,20.8,19.3,11.8,51.8,8.6,12.5,9914.0
01121,32.3,45.4,17.0,18.0,10.7,47.6,8.1,20.6,65024.0
01123,29.7,39.5,16.5,17.2,10.4,47.9,8.6,24.8,33012.0
01125,26.9,41.7,12.0,19.0,10.4,39.0,5.8,39.4,179024.0
01127,32.5,35.9,15.5,18.5,10.5,44.7,8.8,23.9,51667.0
01129,31.7,41.1,17.0,17.9,10.6,47.5,8.8,19.6,12081.0
01131,40.4,51.4,23.5,19.3,11.9,56.4,10.3,7.0,8260.0
01133,34.2,39.4,16.5,18.7,10.5,46.7,9.8,17.9,18766.0
02013,26.9,34.7,11.9,15.1,9.0,32.6,5.3,57.8,3120.0
02016,24.5,33.1,10.2,14.7,8.6,29.5,4.4,68.7,4579.0
02020,20.0,35.2,8.9,16.4,10.9,31.4,5.1,58.4,222910.0
02050,33.1,38.7,13.4,21.9,13.7,36.6,7.5,23.3,12130.0
02060,21.7,35.9,10.8,15.8,11.4,35.1,6.7,45.4,658.0
02063,20.4,31.2,8.7,15.0,10.2,31.1,5.5,66.6,5456.0
02066,23.4,34.6,11.8,15.4,11.1,39.2,8.0,39.5,2031.0
