county_fips,pct_ge60db
01001,1.83
01003,2.33
01005,0.99
01007,0.72
01009,0.67
01011,0.38
01013,1.73
01015,2.68
01017,1.37
01019,0.52
01021,1.20
01023,0.28
01025,0.64
01027,0.60
01029,0.90
01031,1.20
01033,2.76
01035,0.86
01037,0.44
01039,0.77
01041,0.25
01043,2.01
01045,1.54
01047,2.02
01049,1.16
01051,1.34
01053,1.56
01055,2.73
01057,0.41
01059,0.61
01061,0.42
01063,0.90
01065,0.71
01067,0.54
01069,2.27
01071,1.13
01073,4.95
01075,0.58
01077,1.47
01079,0.69
01081,3.04
01083,2.04
01085,0.48
01087,0.81
01089,3.44
01091,1.12
01093,1.05
01095,1.11
01097,4.06
01099,0.47
01101,4.15
01103,2.54
01105,0.23
01107,0.42
01109,0.97
01111,0.74
01113,2.79
01115,2.03
01117,2.47
01119,0.97
01121,1.68
01123,0.77
01125,4.44
01127,1.51
01129,0.26
01131,0.54
01133,0.50
02013,0.00
02016,0.00
02020,3.14
02050,0.88
02060,0.06
02063,0.09
02066,0.00
02068,0.01
02070,0.20
02090,4.89
02100,0.00
02105,0.00
02110,1.59
02122,0.36
02130,0.09
02150,0.49
02158,0.00
02164,0.00
02170,0.72
02180,0.15
02185,0.05
02188,0.91
02195,3.96
02198,0.00
02220,0.14
02230,0.00
02240,0.01
02275,4.97
02282,0.00
02290,0.00
04001,0.25
04003,1.64
04005,3.29
04007,0.67
04009,0.88
04011,0.34
04012,0.87
04013,5.85
04015,1.55
04017,1.06
04019,4.22
04021,2.15
04023,1.83
04025,1.56
04027,4.18
05001,1.91
05003,0.37
05005,0.70
05007,1.58
05009,0.54
05011,0.11
05013,0.38
05015,0.31
05017,1.05
05019,1.58
05021,1.32
05023,0.03
05025,0.48
05027,0.45
05029,0.97
05031,3.10
05033,2.33
05035,4.23
05037,1.52
05039,0.85
05041,1.95
05043,1.05
05045,1.78
05047,1.33
05049,0.46
05051,1.62
05053,0.91
05055,2.03
05057,2.47
05059,2.03
05061,0.62
05063,0.64
05065,0.16
05067,1.68
05069,3.08
05071,1.02
05073,1.33
05075,2.10
05077,0.47
05079,0.40
05081,1.10
05083,0.20
05085,1.58
05087,0.24
05089,0.34
05091,6.06
05093,1.20
05095,1.23
05097,0.09
05099,1.14
05101,0.02
05103,1.66
05105,0.15
05107,0.45
05109,0.05
05111,1.80
05113,1.06
05115,1.99
05117,0.28
05119,4.23
05121,0.22
05123,1.42
05125,2.09
05127,0.35
05129,0.22
05131,2.45
05133,1.36
05135,0.67
05137,0.06
05139,1.03
05141,0.12
05143,2.60
05145,1.46
05147,0.54
05149,0.42
06001,9.08
06003,0.17
06005,0.68
06007,3.60
06009,0.59
06011,1.82
06013,6.08
06015,1.15
06017,1.95
06019,7.30
06021,2.36
06023,2.58
06025,3.68
06027,0.90
06029,4.12
06031,3.17
06033,1.46
06035,1.01
06037,8.94
06039,3.91
06041,3.88
06043,0.24
06045,0.96
06047,5.39
06049,0.55
06051,0.58
06053,3.92
06055,3.63
06057,1.56
06059,7.97
06061,3.66
06063,0.47
06065,3.31
06067,7.04
06069,2.54
06071,4.46
06073,6.80
06075,10.52
06077,7.42
06079,3.75
06081,7.13
06083,5.43
06085,8.49
06087,4.01
06089,3.15
06091,0.08
06093,2.89
06095,6.28
06097,3.29
06099,5.79
06101,2.89
06103,2.53
06105,0.29
06107,3.07
06109,0.94
06111,5.14
06113,5.53
06115,4.82
08001,3.60
08003,1.48
08005,3.53
08007,0.34
08009,0.16
08011,1.29
08013,2.80
08014,5.97
08015,0.70
08017,0.09
08019,1.01
08021,0.12
08023,0.08
08025,0.13
08027,0.00
08029,0.59
08031,4.65
08033,0.32
08035,2.69
08037,2.07
08039,0.12
08041,2.86
08043,0.90
08045,1.94
08047,0.40
08049,0.84
08051,1.46
08053,0.00
08055,0.78
08057,0.09
08059,2.75
08061,0.44
08063,0.22
08065,0.10
08067,1.48
08069,1.79
08071,1.16
08073,0.51
08075,0.46
08077,2.06
08079,0.04
08081,0.55
08083,0.82
08085,1.53
08087,1.37
08089,0.94
08091,0.10
08093,0.14
08095,0.38
08097,1.62
08099,1.37
08101,2.43
08103,0.20
08105,0.96
08107,1.01
08109,0.28
08111,0.07
08113,0.19
08115,0.15
08117,2.04
08119,0.66
08121,0.42
08123,1.99
08125,1.42
09001,4.06
09003,2.90
09005,1.09
09007,2.61
09009,3.59
09011,2.35
09013,0.81
09015,0.99
10001,3.40
10003,4.14
10005,1.05
11001,6.05
12001,2.61
12003,0.72
12005,1.67
12007,0.84
12009,3.05
12011,5.14
12013,0.44
12015,1.64
12017,0.84
12019,4.95
12021,2.20
12023,1.49
12027,1.34
12029,0.36
12031,4.41
12033,2.74
12035,1.74
12037,0.54
12039,0.70
12041,0.23
12043,0.56
12045,0.81
12047,0.76
12049,1.00
12051,1.38
12053,1.55
12055,1.00
12057,3.61
12059,0.99
12061,2.49
12063,0.54
12065,0.51
12067,0.19
12069,1.56
12071,1.82
12073,2.30
12075,0.53
12077,0.09
12079,0.37
12081,2.13
12083,1.59
12085,3.31
12086,5.74
12087,3.75
12089,1.74
12091,2.29
12093,2.17
12095,3.93
12097,3.38
12099,4.18
12101,1.73
12103,2.25
12105,2.26
12107,1.11
12109,1.54
12111,3.17
12113,0.68
12115,2.12
12117,3.29
12119,1.39
12121,0.32
12123,0.72
12125,0.27
12127,2.96
12129,0.44
12131,1.17
12133,0.76
13001,0.75
13003,0.33
13005,0.83
13007,0.13
13009,0.93
13011,0.44
13013,1.08
13015,2.16
13017,1.56
13019,0.63
13021,3.39
13023,0.56
13025,0.41
13027,0.70
13029,2.03
13031,0.74
13033,0.64
13035,1.07
13037,0.34
13039,0.56
13043,0.67
13045,0.91
13047,1.77
13049,1.42
13051,2.88
13053,0.22
13055,0.48
13057,1.44
13059,2.96
13061,0.06
13063,3.04
13065,0.48
13067,2.96
13069,1.31
13071,0.52
13073,1.22
13075,2.42
13077,1.50
13079,0.15
13081,3.35
13083,2.00
13085,0.58
13087,0.59
13089,4.01
13091,0.41
13093,1.11
13095,2.14
13097,1.95
13099,0.48
13101,0.16
13103,0.91
13105,0.92
13107,0.44
13109,0.83
13111,0.55
13113,1.12
13115,2.52
13117,0.81
13119,0.95
13121,6.36
13123,0.59
13125,0.10
13127,2.12
13129,1.55
13131,0.51
13133,0.68
13135,2.23
13137,0.85
13139,1.99
13141,0.21
13143,1.12
13145,0.36
13147,0.33
13149,0.28
13151,1.70
13153,1.30
13155,0.96
13157,1.09
13159,0.56
13161,0.80
13163,1.34
13165,0.58
13167,0.36
13169,0.71
13171,0.82
