geoid,median_gross_rent,resolved
00000,1413,national
01001,1263,county
01003,1277,county
01005,688,county
01007,733,county
01009,776,county
01011,556,county
01013,725,county
01015,826,county
01017,871,county
01019,762,county
01021,871,county
01023,543,county
01025,782,county
01027,619,county
01029,798,county
01031,1018,county
01033,887,county
01035,834,county
01037,665,county
01039,746,county
01041,661,county
01043,908,county
01045,889,county
01047,733,county
01049,693,county
01051,1071,county
01053,766,county
01055,847,county
01057,667,county
01059,676,county
01061,784,county
01063,432,county
01065,715,county
01067,769,county
01069,945,county
01071,780,county
01073,1193,county
01075,549,county
01077,838,county
01079,753,county
01081,1058,county
01083,970,county
01085,710,county
01087,734,county
01089,1209,county
01091,716,county
01093,630,county
01095,795,county
01097,1052,county
01099,666,county
01101,1092,county
01103,864,county
01105,592,county
01107,648,county
01109,856,county
01111,708,county
01113,939,county
01115,1084,county
01117,1401,county
01119,775,county
01121,785,county
01123,765,county
01125,1037,county
01127,756,county
01129,655,county
01131,745,county
01133,803,county
02013,979,county
02016,1982,county
02020,1489,county
02050,1474,county
02060,1317,county
02063,1369,county
02066,1089,county
02068,825,county
02070,1105,county
02090,1459,county
02100,1087,county
02105,1014,county
02110,1444,county
02122,1184,county
02130,1505,county
02150,1765,county
02158,833,county
02164,936,county
02170,1299,county
02180,1394,county
02185,1254,county
02188,1350,county
02195,950,county
02198,964,county
02220,1341,county
02230,1280,county
02240,1351,county
02275,993,county
02282,1330,county
02290,1084,county
04001,647,county
04003,995,county
04005,1473,county
04007,1030,county
04009,935,county
04011,648,county
04012,802,county
04013,1708,county
04015,1091,county
04017,858,county
04019,1212,county
04021,1537,county
04023,829,county
04025,1351,county
04027,993,county
05001,843,county
05003,703,county
05005,846,county
05007,1277,county
05009,733,county
05011,689,county
05013,769,county
05015,856,county
05017,574,county
05019,793,county
05021,707,county
05023,859,county
05025,536,county
05027,649,county
05029,755,county
05031,958,county
05033,851,county
05035,911,county
05037,764,county
05039,627,county
05041,718,county
05043,725,county
05045,1005,county
05047,719,county
05049,626,county
05051,966,county
05053,788,county
05055,904,county
05057,815,county
05059,768,county
05061,690,county
05063,845,county
05065,621,county
05067,668,county
05069,888,county
05071,728,county
05073,755,county
05075,697,county
05077,667,county
05079,744,county
05081,697,county
05083,745,county
05085,1025,county
05087,729,county
05089,795,county
05091,892,county
05093,830,county
05095,614,county
05097,636,county
05099,869,county
05101,617,county
05103,764,county
05105,805,county
05107,737,county
05109,686,county
05111,619,county
05113,711,county
05115,859,county
05117,625,county
05119,1080,county
05121,674,county
05123,779,county
05125,1033,county
05127,722,county
05129,606,county
05131,886,county
05133,751,county
05135,766,county
05137,626,county
05139,847,county
05141,722,county
05143,1071,county
05145,850,county
05147,613,county
05149,735,county
06001,2357,county
06005,1421,county
06007,1414,county
06009,1625,county
06011,1157,county
06013,2375,county
06015,1233,county
06017,1715,county
06019,1392,county
06021,1120,county
06023,1287,county
06025,1056,county
06027,1189,county
06029,1300,county
06031,1331,county
06033,1368,county
06035,1000,county
06037,1954,county
06039,1390,county
06041,2668,county
06043,1305,county
06045,1317,county
06047,1343,county
06049,836,county
06051,1629,county
06053,2055,county
06055,2237,county
06057,1677,county
06059,2434,county
06061,2069,county
06063,1194,county
06065,1901,county
06067,1790,county
06069,1992,county
06071,1801,county
06073,2246,county
06075,2476,county
06077,1734,county
06079,1992,county
06081,2922,county
06083,2131,county
06085,2857,county
06087,2264,county
06089,1317,county
06093,1091,county
06095,2163,county
06097,2158,county
06099,1623,county
06101,1439,county
06103,1184,county
06105,1073,county
06107,1280,county
06109,1302,county
06111,2317,county
06113,1857,county
06115,1311,county
08001,1781,county
08003,907,county
08005,1891,county
08007,1432,county
08009,592,county
08011,1162,county
08013,1966,county
08014,2126,county
08015,1611,county
08017,926,county
08019,1467,county
08021,748,county
08023,927,county
08025,984,county
08027,1069,county
08029,1121,county
08031,1831,county
08033,986,county
08035,2193,county
08037,2019,county
08039,1311,county
08041,1696,county
08043,1070,county
08045,1637,county
08047,1658,county
08049,1493,county
08051,1252,county
08053,1171,county
08055,838,county
08057,1701,county
08059,1861,county
08061,800,county
08063,973,county
08065,1397,county
08067,1504,county
08069,1716,county
08071,891,county
08073,868,county
08075,1013,county
08077,1182,county
08079,928,county
08081,1039,county
08083,942,county
08085,1188,county
08087,1025,county
08089,839,county
08091,1786,county
08093,2161,county
08095,999,county
08097,2004,county
08099,808,county
08101,1111,county
08103,919,county
08105,945,county
08107,1917,county
08109,828,county
08111,992,county
08113,1149,county
08115,774,county
08117,1928,county
08119,1880,county
08121,947,county
08123,1539,county
08125,942,county
09110,1411,county
09120,1546,county
09130,1454,county
09140,1330,county
09150,1155,county
09160,1193,county
09170,1525,county
09180,1365,county
09190,2110,county
10001,1354,county
10003,1448,county
10005,1238,county
11001,1954,county
12001,1339,county
12003,1302,county
12005,1484,county
12007,863,county
12009,1556,county
12011,1907,county
12013,779,county
12015,1464,county
12017,1107,county
12019,1551,county
12021,1862,county
12023,976,county
12027,932,county
12029,695,county
12031,1475,county
12033,1321,county
12035,1722,county
12037,1049,county
12039,851,county
12041,926,county
12043,886,county
12045,1187,county
12047,724,county
12049,962,county
12051,1003,county
12053,1298,county
12055,1035,county
12057,1667,county
12059,844,county
12061,1357,county
12063,865,county
12065,898,county
12067,896,county
12069,1586,county
12071,1712,county
12073,1291,county
12075,850,county
12077,943,county
12079,874,county
12081,1671,county
12083,1277,county
12085,1569,county
12086,1829,county
12087,1999,county
12089,1526,county
12091,1612,county
12093,1082,county
12095,1775,county
12097,1746,county
12099,1916,county
12101,1505,county
12103,1642,county
12105,1363,county
12107,906,county
12109,1922,county
12111,1585,county
12113,1544,county
12115,1818,county
12117,1783,county
12119,1269,county
12121,884,county
12123,988,county
12125,894,county
12127,1467,county
12129,1108,county
12131,1741,county
12133,888,county
13001,739,county
13003,657,county
13005,743,county
13007,631,county
13009,923,county
13011,827,county
13013,1318,county
13015,1268,county
13017,688,county
13019,782,county
13021,1066,county
13023,799,county
13025,755,county
13027,809,county
13029,1618,county
13031,995,county
13033,758,county
13035,941,county
13037,546,county
13039,1235,county
13043,715,county
13045,1153,county
13047,993,county
13049,540,county
13051,1471,county
13053,1348,county
13055,790,county
13057,1799,county
13059,1219,county
13061,536,county
13063,1433,county
13065,509,county
13067,1730,county
13069,710,county
13071,818,county
13073,1409,county
13075,956,county
13077,1488,county
13079,914,county
13081,778,county
13083,829,county
13085,1626,county
13087,838,county
13089,1692,county
13091,723,county
13093,758,county
