building_type,climate_zone,vintage_bin,eui_kbtu_sqft_yr
sf_detached,1,pre_1950,36.7
sf_detached,1,1950_1979,34.4
sf_detached,1,1980_1999,30.9
sf_detached,1,2000_2009,27.0
sf_detached,1,2010_plus,23.5
sf_detached,1,unknown,32.4
sf_detached,1A,pre_1950,36.7
sf_detached,1A,1950_1979,34.4
sf_detached,1A,1980_1999,30.9
sf_detached,1A,2000_2009,27.0
sf_detached,1A,2010_plus,23.5
sf_detached,1A,unknown,32.4
sf_detached,2,pre_1950,45.9
sf_detached,2,1950_1979,40.5
sf_detached,2,1980_1999,32.4
sf_detached,2,2000_2009,29.3
sf_detached,2,2010_plus,27.6
sf_detached,2,unknown,34.1
sf_detached,2A,pre_1950,46.4
sf_detached,2A,1950_1979,40.7
sf_detached,2A,1980_1999,32.4
sf_detached,2A,2000_2009,29.2
sf_detached,2A,2010_plus,27.4
sf_detached,2A,unknown,34.3
sf_detached,2B,pre_1950,43.2
sf_detached,2B,1950_1979,39.2
sf_detached,2B,1980_1999,32.3
sf_detached,2B,2000_2009,29.6
sf_detached,2B,2010_plus,29.6
sf_detached,2B,unknown,33.4
sf_detached,3,pre_1950,50.6
sf_detached,3,1950_1979,47.2
sf_detached,3,1980_1999,37.9
sf_detached,3,2000_2009,33.2
sf_detached,3,2010_plus,30.2
sf_detached,3,unknown,40.7
sf_detached,3A,pre_1950,62.5
sf_detached,3A,1950_1979,54.6
sf_detached,3A,1980_1999,40.9
sf_detached,3A,2000_2009,35.2
sf_detached,3A,2010_plus,31.4
sf_detached,3A,unknown,44.8
sf_detached,3B,pre_1950,41.7
sf_detached,3B,1950_1979,40.0
sf_detached,3B,1980_1999,34.2
sf_detached,3B,2000_2009,30.3
sf_detached,3B,2010_plus,27.8
sf_detached,3B,unknown,36.1
sf_detached,3C,pre_1950,42.3
sf_detached,3C,1950_1979,40.8
sf_detached,3C,1980_1999,31.1
sf_detached,3C,2000_2009,27.1
sf_detached,3C,2010_plus,24.7
sf_detached,3C,unknown,37.6
sf_detached,4,pre_1950,78.1
sf_detached,4,1950_1979,68.6
sf_detached,4,1980_1999,45.1
sf_detached,4,2000_2009,38.2
sf_detached,4,2010_plus,36.0
sf_detached,4,unknown,56.1
sf_detached,4A,pre_1950,80.6
sf_detached,4A,1950_1979,70.6
sf_detached,4A,1980_1999,45.4
sf_detached,4A,2000_2009,38.6
sf_detached,4A,2010_plus,36.1
sf_detached,4A,unknown,57.8
sf_detached,4B,pre_1950,65.7
sf_detached,4B,1950_1979,62.3
sf_detached,4B,1980_1999,43.5
sf_detached,4B,2000_2009,36.3
sf_detached,4B,2010_plus,36.0
sf_detached,4B,unknown,50.2
sf_detached,4C,pre_1950,62.1
sf_detached,4C,1950_1979,57.4
sf_detached,4C,1980_1999,44.2
sf_detached,4C,2000_2009,36.3
sf_detached,4C,2010_plus,35.9
sf_detached,4C,unknown,48.3
sf_detached,5,pre_1950,98.9
sf_detached,5,1950_1979,86.5
sf_detached,5,1980_1999,56.0
sf_detached,5,2000_2009,45.2
sf_detached,5,2010_plus,44.2
sf_detached,5,unknown,75.9
sf_detached,5A,pre_1950,100.4
sf_detached,5A,1950_1979,89.2
sf_detached,5A,1980_1999,58.0
sf_detached,5A,2000_2009,46.6
sf_detached,5A,2010_plus,45.2
sf_detached,5A,unknown,80.2
sf_detached,5B,pre_1950,79.7
sf_detached,5B,1950_1979,66.7
sf_detached,5B,1980_1999,48.5
sf_detached,5B,2000_2009,41.9
sf_detached,5B,2010_plus,42.5
sf_detached,5B,unknown,53.3
sf_detached,6,pre_1950,100.7
sf_detached,6,1950_1979,89.6
sf_detached,6,1980_1999,60.8
sf_detached,6,2000_2009,49.9
sf_detached,6,2010_plus,49.8
sf_detached,6,unknown,77.4
sf_detached,6A,pre_1950,100.7
sf_detached,6A,1950_1979,90.9
sf_detached,6A,1980_1999,62.4
sf_detached,6A,2000_2009,51.2
sf_detached,6A,2010_plus,50.1
sf_detached,6A,unknown,79.3
sf_detached,6B,pre_1950,100.6
sf_detached,6B,1950_1979,78.6
sf_detached,6B,1980_1999,51.6
sf_detached,6B,2000_2009,44.4
sf_detached,6B,2010_plus,47.4
sf_detached,6B,unknown,63.0
sf_detached,7,pre_1950,112.8
sf_detached,7,1950_1979,93.0
sf_detached,7,1980_1999,64.9
sf_detached,7,2000_2009,50.3
sf_detached,7,2010_plus,52.9
sf_detached,7,unknown,81.0
sf_detached,7A,pre_1950,112.9
sf_detached,7A,1950_1979,94.3
sf_detached,7A,1980_1999,65.2
sf_detached,7A,2000_2009,51.1
sf_detached,7A,2010_plus,52.9
sf_detached,7A,unknown,82.2
sf_detached,7B,pre_1950,111.0
sf_detached,7B,1950_1979,82.1
sf_detached,7B,1980_1999,63.7
sf_detached,7B,2000_2009,44.1
sf_detached,7B,unknown,68.4
