geoid,state,school_mo_rate,school_is_rate,is_exempt_weight,owner_exempt_value,resolved
48001,TX,0.007743,0.00258,1.0,100000,county
48003,TX,0.006769,0.002,0.0,100000,county
48005,TX,0.007547,0.002058,1.0,100000,county
48007,TX,0.006765,0.001057,1.0,100000,county
48009,TX,0.007626,0.003559,1.0,100000,county
48011,TX,0.007051,0.00059,0.0309,100000,county
48013,TX,0.007549,0.00256,1.0,100000,county
48015,TX,0.007091,0.002649,0.4981,100000,county
48017,TX,0.008019,0.002509,0.7062,100000,county
48019,TX,0.006806,0.001118,1.0,100000,county
48021,TX,0.006945,0.003806,0.8633,100000,county
48023,TX,0.006706,1.5e-05,0.0077,100000,county
48025,TX,0.007503,0.002285,0.1498,100000,county
48027,TX,0.007155,0.003121,0.9779,100000,county
48029,TX,0.006995,0.003347,1.0,100000,county
48031,TX,0.006719,0.001533,1.0,100000,county
48033,TX,0.006961,5.4e-05,0.0208,100000,county
48035,TX,0.006674,0.001348,0.6262,100000,county
48037,TX,0.007413,0.003466,0.5599,100000,county
48039,TX,0.007411,0.003003,0.4176,100000,county
48041,TX,0.006874,0.002736,1.0,100000,county
48043,TX,0.007402,0.001523,0.2918,100000,county
48045,TX,0.006898,0.002564,0.1144,100000,county
48047,TX,0.008238,0.005,1.0,100000,county
48049,TX,0.006891,0.002197,0.8996,100000,county
48051,TX,0.007293,0.001856,1.0,100000,county
48053,TX,0.006748,0.002077,1.0,100000,county
48055,TX,0.00691,0.002583,1.0,100000,county
48057,TX,0.006961,0.000587,0.0,100000,county
48059,TX,0.00732,0.002163,0.5594,100000,county
48061,TX,0.007502,0.001756,0.8399,100000,county
48063,TX,0.006669,0.0045,1.0,100000,county
48065,TX,0.007372,0.002776,0.7898,100000,county
48067,TX,0.007657,0.000647,1.0,100000,county
48069,TX,0.007723,0.002793,0.2959,100000,county
48071,TX,0.007859,0.002709,0.3004,100000,county
48073,TX,0.007047,0.003259,1.0,100000,county
48075,TX,0.006705,0.0,0.0399,100000,county
48077,TX,0.007239,0.003424,0.7821,100000,county
48079,TX,0.007335,0.002413,0.082,100000,county
48081,TX,0.006841,0.003944,0.2007,100000,county
48083,TX,0.007323,0.000366,1.0,100000,county
48085,TX,0.007698,0.003377,0.6743,100000,county
48087,TX,0.007409,1.4e-05,1.0,100000,county
48089,TX,0.006788,0.00144,1.0,100000,county
48091,TX,0.007278,0.003479,1.0,100000,county
48093,TX,0.007395,0.002032,0.9947,100000,county
48095,TX,0.007248,0.002068,0.0562,100000,county
48097,TX,0.007236,0.001442,0.8959,100000,county
48099,TX,0.00734,0.001149,1.0,100000,county
48101,TX,0.007279,0.0,1.0,100000,county
48103,TX,0.006692,0.002631,0.0,100000,county
48105,TX,0.007497,0.003943,0.0,100000,county
48107,TX,0.007468,0.001192,0.5967,100000,county
48109,TX,0.00719,0.00241,0.0,100000,county
48111,TX,0.007253,0.002344,1.0,100000,county
48113,TX,0.007418,0.002768,1.0,100000,county
48115,TX,0.007654,0.002188,0.422,100000,county
48117,TX,0.007049,0.001079,0.0138,100000,county
48119,TX,0.0075,0.001752,0.1485,100000,county
48121,TX,0.007245,0.004012,1.0,100000,county
48123,TX,0.00681,0.000998,1.0,100000,county
48125,TX,0.007366,0.001063,1.0,100000,county
48127,TX,0.007151,0.00135,0.0,100000,county
48129,TX,0.007996,8.2e-05,0.2626,100000,county
48131,TX,0.007518,0.003914,0.7363,100000,county
48133,TX,0.006864,0.000606,1.0,100000,county
48135,TX,0.007596,0.002544,0.0,100000,county
48137,TX,0.007177,0.001254,1.0,100000,county
48139,TX,0.007218,0.004017,1.0,100000,county
