geoid,poverty_rate_pct,median_household_income,housing_cost_burden_pct,education_bachelors_plus_pct,unemployment_rate_pct,socioeconomic_index,households
01001,11.4,74113.2,20.4,29.4,2.4,57.5,22917.0
01003,10.1,79762.3,26.2,33.8,3.1,56.7,98574.0
01005,21.5,46886.2,26.7,11.6,7.9,27.0,9128.0
01007,22.7,51008.7,25.8,11.9,12.3,25.2,7704.0
01009,13.2,64831.3,20.3,15.8,5.0,43.3,22180.0
01011,33.4,33230.5,33.5,8.8,7.2,19.0,3688.0
01013,22.4,44673.1,25.6,13.4,6.3,30.4,7597.0
01015,18.1,56898.0,24.1,20.7,5.9,39.0,45015.0
01017,16.1,49118.0,26.2,15.2,5.4,35.5,13434.0
01019,14.7,56214.9,21.5,16.6,3.9,41.0,10192.0
01021,14.3,66341.6,20.0,16.5,5.4,42.3,17875.0
01023,16.7,47117.7,18.4,15.6,5.2,36.2,5255.0
01025,19.9,47748.6,25.1,15.1,9.4,29.6,8423.0
01027,17.9,55771.8,22.3,14.6,2.3,41.8,5820.0
01029,13.6,58126.4,20.2,17.0,2.6,46.2,5980.0
01031,16.9,71656.6,23.3,22.4,5.2,43.0,20984.0
01033,18.1,61593.2,23.9,21.2,3.4,45.5,24301.0
01035,28.0,41441.6,24.5,13.3,8.1,25.7,4417.0
01037,13.3,58719.3,18.5,14.1,6.4,40.1,4418.0
01039,19.4,52556.1,23.0,17.2,5.1,37.1,14642.0
01041,18.0,48554.7,25.9,19.1,5.3,33.6,5233.0
01043,15.7,63952.6,22.7,19.9,3.7,45.3,35347.0
01045,18.9,56790.9,25.5,20.3,6.7,38.0,19727.0
01047,30.9,33853.6,34.6,16.9,11.5,19.9,15947.0
01049,21.8,52167.3,22.0,14.3,4.0,38.3,26181.0
01051,10.3,79114.6,21.4,26.4,4.6,53.6,32856.0
01053,20.3,48874.5,24.3,14.2,9.8,31.2,12808.0
01055,16.8,55641.7,25.9,18.2,5.9,38.8,39411.0
01057,21.9,48689.2,18.8,15.0,8.6,32.4,6255.0
01059,19.0,52722.8,19.8,15.8,3.6,41.6,11954.0
01061,19.1,54064.3,20.2,13.3,5.8,34.9,10647.0
01063,39.5,30111.4,31.0,15.3,4.8,25.0,3225.0
01065,26.6,45569.6,29.1,17.5,6.2,31.7,5642.0
01067,18.8,57868.6,19.8,21.8,3.8,44.4,7062.0
01069,17.8,61940.0,27.4,23.0,4.8,41.8,43302.0
01071,17.4,51908.8,23.7,15.8,4.5,37.5,21795.0
01073,15.9,76105.0,31.8,37.1,4.9,47.4,269883.0
01075,18.3,49894.9,22.1,12.1,5.7,34.4,5086.0
01077,12.6,64623.1,20.8,30.1,4.1,52.8,39258.0
01079,13.6,66293.2,17.8,15.2,1.9,50.0,13627.0
01081,19.8,70483.7,31.3,43.7,3.3,51.8,69436.0
01083,10.4,86824.6,19.7,30.7,3.5,58.9,40953.0
01085,29.5,39159.1,36.5,14.1,7.2,19.6,4284.0
01087,24.6,45622.2,31.2,22.0,7.4,31.6,7237.0
01089,10.5,92325.1,24.0,46.1,3.6,62.8,165031.0
01091,21.8,47736.7,26.3,19.5,5.0,38.5,7898.0
01093,16.2,52500.4,22.8,13.0,5.4,35.7,10614.0
01095,16.4,64743.6,23.1,21.5,3.9,44.6,36459.0
01097,16.3,62864.8,31.7,26.4,5.5,41.1,161665.0
01099,20.1,42587.2,24.8,12.3,9.6,27.8,7363.0
01101,20.2,64776.8,34.0,34.6,6.0,40.5,91381.0
01103,13.3,70233.9,21.6,23.3,3.7,50.7,49040.0
01105,29.6,38184.7,23.1,15.6,17.2,25.3,3440.0
01107,20.1,48812.4,22.4,13.8,5.3,34.3,6764.0
01109,23.3,53127.2,30.9,28.6,3.7,39.3,12484.0
01111,19.4,56398.6,22.0,18.2,3.8,39.8,9271.0
01113,22.2,50634.2,35.1,18.0,6.2,29.6,23938.0
01115,11.4,78833.3,20.9,21.6,4.7,51.4,35107.0
01117,7.3,105147.1,21.6,47.2,2.8,70.0,86866.0
01119,27.0,35416.9,33.7,19.1,12.1,19.2,4823.0
01121,18.0,58019.9,24.2,16.4,6.9,36.2,33644.0
01123,16.4,60484.2,20.0,20.4,5.1,42.3,17076.0
01125,17.6,70987.4,30.1,33.1,5.5,48.2,90052.0
01127,18.5,58153.8,20.5,16.5,4.7,39.7,25388.0
01129,17.1,62353.0,17.8,16.6,4.7,43.8,5963.0
01131,26.8,42980.6,32.7,13.1,11.8,18.6,3860.0
01133,18.7,56244.0,18.8,14.2,3.5,40.3,9420.0
02013,13.2,65365.0,14.2,18.3,8.4,40.3,1045.0
02016,11.5,135357.0,32.8,17.9,4.3,49.2,956.0
02020,9.1,108235.4,31.2,38.3,4.7,57.6,108597.0
02050,23.4,78646.4,18.3,13.8,15.7,35.2,4828.0
02060,9.3,95625.0,11.9,20.9,4.4,58.6,291.0
02063,5.9,92672.0,21.1,31.4,9.4,55.6,2861.0
02066,8.7,79250.0,16.8,23.4,4.8,54.7,1207.0
02068,8.3,80781.0,21.4,26.6,0.9,64.4,565.0
02070,18.2,81048.9,23.3,19.4,10.7,38.2,1403.0
02090,6.6,89743.3,30.2,33.1,5.5,56.8,36359.0
02100,5.4,86927.0,27.2,34.1,4.7,58.6,901.0
02105,14.2,61406.0,20.0,24.6,15.8,36.1,924.0
02110,8.8,102918.2,27.0,41.8,3.8,62.3,13167.0
02122,11.8,80562.8,28.0,30.0,7.0,45.7,24371.0
02130,8.8,93641.5,33.3,27.4,3.2,53.5,5732.0
02150,9.0,85826.5,37.0,28.7,4.9,50.0,4640.0
02158,32.4,51471.0,19.8,5.8,19.8,21.5,1916.0
02164,12.8,65625.0,17.9,16.3,8.6,38.3,324.0
02170,10.4,93541.0,30.7,24.4,5.9,47.2,39869.0
02180,20.3,82195.5,23.2,14.3,17.4,34.4,2816.0
02185,13.1,105666.4,19.6,12.9,12.1,42.5,2281.0
02188,17.7,84078.3,16.3,10.5,18.0,38.0,1825.0
02195,7.0,75125.0,19.7,25.8,3.8,57.8,1371.0
02198,12.6,63740.2,19.2,15.1,7.9,38.4,2419.0
02220,7.5,99266.5,28.4,34.3,6.7,55.2,3440.0
02230,5.9,81136.0,23.7,28.5,9.1,50.7,450.0
02240,12.8,74190.0,24.0,22.8,6.6,42.3,2497.0
02275,12.1,63750.0,22.2,21.4,4.3,45.0,976.0
02282,11.9,85000.0,9.6,14.4,0.9,60.4,206.0
02290,16.2,55601.7,13.7,15.4,5.6,39.6,2296.0
04001,30.3,45136.3,15.5,16.7,10.3,32.3,21100.0
04003,15.3,62027.3,27.5,28.8,6.9,42.1,50982.0
04005,16.8,75190.4,32.4,41.8,5.6,47.8,55118.0
04007,15.2,62801.3,25.7,19.0,6.1,41.7,23645.0
04009,16.2,68931.2,21.3,15.3,7.8,41.2,12746.0
04011,8.2,71538.6,8.4,20.9,2.3,61.0,3591.0
04012,17.8,50255.4,21.4,13.3,12.3,33.4,8959.0
04013,10.9,95678.1,32.1,37.4,4.5,53.7,1730696.0
04015,15.9,59493.4,29.8,15.4,7.3,34.2,101973.0
04017,23.5,55639.8,20.2,19.5,9.5,37.4,40063.0
04019,14.4,75947.3,32.5,37.4,5.4,47.7,437827.0
04021,10.8,81581.8,27.0,23.5,6.2,48.0,161917.0
04023,19.5,57480.6,30.6,23.6,12.3,30.2,16966.0
04025,12.0,71117.3,29.9,30.3,4.3,47.9,111157.0
04027,15.6,64889.4,28.3,17.2,6.7,37.6,79341.0
05001,18.6,54760.5,25.0,13.6,8.0,31.9,6705.0
05003,22.0,43874.6,26.2,13.3,5.6,29.0,7356.0
05005,15.4,48188.1,27.7,19.5,6.4,33.4,19348.0
05007,7.4,97334.3,20.0,38.3,3.1,66.7,111919.0
05009,12.0,55826.3,23.6,17.0,2.7,45.2,15363.0
05011,20.0,46235.4,27.3,15.3,6.3,29.7,3752.0
05013,10.3,67513.0,14.1,19.9,5.8,48.1,1690.0
05015,16.4,56593.4,29.1,20.3,4.7,36.6,11347.0
05017,23.2,42263.6,29.2,17.7,9.3,26.2,3965.0
05019,21.5,52500.6,26.2,27.0,3.7,39.9,8121.0
05021,17.2,51135.3,20.8,15.3,6.2,35.9,6021.0
05023,14.1,54574.4,23.7,18.5,6.3,37.7,10522.0
05025,15.8,55438.1,23.3,19.7,2.3,44.6,2931.0
05027,20.7,53141.8,22.5,22.1,3.3,42.4,8409.0
05029,19.6,56360.6,20.8,20.0,6.5,35.4,8279.0
05031,20.5,65982.7,28.1,29.2,5.6,41.9,44437.0
05033,14.4,65421.2,20.7,20.0,4.0,46.5,23357.0
05035,21.0,58130.5,30.1,16.8,10.5,32.5,18203.0
05037,19.5,51633.0,27.1,18.6,10.3,30.8,6483.0
05039,14.1,50221.5,21.5,11.2,8.9,32.3,2558.0
05041,28.8,37246.8,28.8,12.2,8.2,22.1,4610.0
05043,22.7,42327.3,27.2,26.1,6.1,32.2,7196.0
