county_fips,specific_yield_kwh_kwp,irradiation_kwh_m2
01001,1407.1,1929.2
01003,1444.8,1967.2
01005,1427.6,1963.1
01007,1384.2,1902.6
01009,1365.7,1865.9
01011,1418.5,1950.6
01013,1415.9,1954.5
01015,1379.5,1883.7
01017,1408.7,1926.9
01019,1361.3,1858.0
01021,1412.7,1937.7
01023,1398.0,1932.1
01025,1407.8,1946.0
01027,1385.6,1890.7
01029,1376.3,1874.8
01031,1436.1,1972.4
01033,1359.4,1853.2
01035,1412.5,1950.3
01037,1394.2,1909.8
01039,1422.9,1961.3
01041,1417.6,1955.1
01043,1371.5,1872.0
01045,1434.6,1968.1
01047,1418.6,1954.5
01049,1359.9,1845.2
01051,1410.2,1934.6
01053,1418.4,1952.5
01055,1366.0,1865.4
01057,1367.5,1876.7
01059,1368.0,1865.0
01061,1438.5,1978.4
01063,1401.1,1931.6
01065,1404.1,1933.1
01067,1432.6,1966.7
01069,1449.4,1987.6
01071,1339.8,1824.6
01073,1398.9,1914.4
01075,1368.3,1878.7
01077,1360.8,1855.6
01079,1371.7,1866.4
01081,1420.4,1945.3
01083,1356.0,1840.4
01085,1426.1,1964.2
01087,1411.5,1939.8
01089,1339.6,1823.4
01091,1400.9,1931.8
01093,1370.2,1872.6
01095,1370.2,1864.4
01097,1421.4,1934.2
01099,1416.0,1954.1
01101,1425.5,1960.1
01103,1358.2,1851.5
01105,1400.3,1925.6
01107,1385.5,1907.2
01109,1422.8,1959.1
01111,1395.3,1906.1
01113,1405.6,1933.6
01115,1379.2,1882.8
01117,1379.7,1886.3
01119,1397.2,1926.3
01121,1382.1,1887.2
01123,1412.0,1935.8
01125,1364.7,1879.6
01127,1378.8,1889.1
01129,1405.0,1941.0
01131,1410.3,1951.2
01133,1371.1,1871.2
02013,485.2,625.4
02060,866.9,1079.4
02070,844.4,1045.9
02100,678.2,864.1
02105,711.1,905.3
02110,518.3,688.5
02130,611.7,806.5
02150,804.1,1003.7
02164,760.6,950.5
02195,608.5,798.4
02198,680.2,877.6
02220,623.5,811.3
02230,617.9,789.7
02275,645.2,845.0
04001,1769.4,2339.5
04003,1813.8,2473.7
04005,1760.7,2334.9
04007,1668.5,2328.1
04009,1745.5,2435.2
04011,1669.4,2278.2
04012,1774.0,2480.4
04013,1737.5,2469.8
04015,1734.2,2347.4
04017,1785.9,2383.7
04019,1746.4,2420.3
04021,1725.8,2430.1
04023,1750.1,2414.2
04025,1733.6,2335.5
04027,1778.1,2524.8
05001,1403.2,1911.1
05003,1389.4,1910.2
05005,1372.2,1863.8
05007,1398.2,1890.8
05009,1381.7,1870.4
05011,1379.4,1901.9
05013,1377.1,1898.1
05015,1378.5,1861.3
05017,1418.9,1935.7
05019,1366.2,1881.5
05021,1368.4,1841.0
05023,1364.9,1851.9
05025,1372.8,1890.5
05027,1379.3,1901.7
05029,1373.7,1879.8
05031,1387.7,1869.7
05033,1362.7,1862.3
05035,1381.3,1870.2
05037,1381.1,1867.8
05039,1371.4,1888.8
05041,1414.0,1926.1
05043,1391.4,1910.3
05045,1372.4,1875.6
05047,1386.8,1895.9
05049,1378.0,1867.5
05051,1357.5,1859.4
05053,1377.9,1894.7
05055,1400.7,1882.9
05057,1390.8,1914.4
05059,1359.8,1864.2
05061,1379.7,1894.6
05063,1373.7,1867.6
05065,1375.8,1869.9
05067,1391.5,1884.0
05069,1401.5,1914.7
05071,1362.5,1861.0
05073,1385.2,1906.4
05075,1394.8,1890.1
05077,1393.8,1890.0
05079,1389.6,1899.7
05081,1387.8,1905.1
05083,1364.9,1870.8
05085,1400.0,1900.5
05087,1396.9,1883.8
05089,1379.1,1869.9
05091,1391.9,1914.2
05093,1378.6,1858.2
05095,1400.0,1902.9
05097,1366.7,1866.2
05099,1379.7,1900.8
05101,1331.0,1798.6
05103,1379.4,1902.3
05105,1360.5,1859.1
05107,1411.2,1917.7
05109,1367.6,1876.2
05111,1377.0,1856.6
05113,1332.5,1817.0
05115,1366.7,1865.7
05117,1393.0,1890.1
05119,1381.2,1886.5
05121,1379.7,1869.0
05123,1402.3,1901.4
05125,1367.5,1872.9
05127,1373.8,1875.4
05129,1383.6,1867.4
05131,1383.9,1891.9
05133,1382.7,1901.4
05135,1368.0,1860.0
05137,1351.6,1831.5
05139,1381.4,1907.1
05141,1373.2,1864.5
05143,1393.3,1881.8
05145,1374.0,1864.5
05147,1391.7,1885.7
05149,1368.2,1869.8
06001,1525.9,2076.4
06003,1594.9,2094.7
06005,1593.3,2184.4
06007,1508.3,2100.5
06009,1583.7,2177.6
06011,1564.0,2170.9
06013,1571.1,2117.9
06015,1339.9,1767.0
06017,1579.0,2153.8
06019,1579.7,2214.9
06021,1565.8,2175.2
06023,1410.2,1874.8
06025,1729.7,2480.9
06027,1775.6,2448.5
06029,1592.1,2222.9
06031,1583.7,2242.1
06033,1468.7,2050.6
06035,1563.4,2071.7
06037,1513.8,2112.8
06039,1550.2,2149.8
06041,1510.4,1965.4
06043,1434.1,1988.1
06045,1483.1,2010.5
06047,1576.4,2203.4
06049,1527.6,2033.7
06051,1736.9,2278.3
06053,1666.4,2270.0
06055,1576.8,2173.4
06057,1547.2,2105.2
06059,1654.9,2241.7
06061,1529.0,2099.9
06063,1505.2,2025.7
06065,1754.9,2499.7
06067,1564.1,2153.6
06069,1662.7,2282.1
06071,1774.9,2468.3
06073,1603.5,2217.3
06077,1572.3,2167.9
06079,1708.1,2338.4
06081,1416.3,1874.5
06083,1727.6,2276.0
06085,1584.8,2173.5
06087,1644.0,2145.9
06089,1446.3,2010.9
06091,1546.8,2054.8
06093,1522.7,2054.3
06095,1609.4,2188.6
06097,1512.6,2049.5
06099,1576.2,2196.8
06101,1541.5,2146.3
06103,1526.8,2113.9
06105,1485.1,2034.9
06107,1542.3,2116.2
06109,1627.2,2197.3
06111,1665.7,2271.8
06113,1574.8,2183.7
06115,1523.9,2109.4
08001,1591.6,2112.8
08003,1762.9,2333.6
08005,1618.5,2142.2
08007,1604.0,2118.8
08009,1683.1,2226.3
08011,1675.8,2235.6
08013,1399.9,1829.3
08014,1503.0,2000.2
08015,1449.1,1828.6
08017,1666.2,2196.2
08019,1510.9,1902.0
08021,1712.5,2239.6
08023,1715.5,2255.7
08025,1665.7,2222.1
08027,1609.5,2114.9
08029,1523.6,2073.3
08031,1574.9,2101.3
08033,1567.2,2051.4
08035,1553.6,2042.5
08037,1450.9,1883.8
08039,1616.2,2125.6
08041,1658.5,2192.0
08043,1622.4,2136.2
08045,1472.0,1958.4
08047,1514.5,1938.5
08049,1440.1,1877.1
08051,1514.7,1952.3
08053,1538.5,1949.0
08055,1666.0,2201.6
08057,1457.7,1888.1
08059,1485.8,1933.1
08061,1655.4,2202.0
08063,1630.7,2148.9
08065,1582.4,1999.8
08067,1327.1,1790.7
08069,1337.8,1722.2
08071,1685.5,2243.5
08073,1667.9,2192.1
08075,1537.8,2027.1
08077,1559.7,2107.6
08079,1492.8,1919.4
08081,1524.5,1987.3
08083,1670.5,2213.8
08085,1504.7,1967.1
08087,1546.2,2063.3
08089,1682.3,2250.5
08091,1470.6,1915.1
08093,1705.2,2178.7
08095,1560.8,2047.5
08097,1393.7,1786.7
08099,1647.6,2192.1
08101,1671.5,2234.6
08103,1484.0,1939.7
08105,1650.0,2102.6
08107,1140.7,1540.0
08109,1676.3,2167.1
08111,1355.7,1740.9
08113,1554.2,2043.3
08115,1558.7,2041.0
08117,1340.3,1721.2
08119,1620.1,2093.9
08121,1592.9,2102.2
08123,1558.8,2070.9
08125,1581.2,2081.4
09110,1274.6,1683.9
09120,1319.9,1724.3
09130,1307.5,1708.9
09140,1300.7,1707.0
09150,1281.4,1684.8
09160,1265.1,1657.0
09170,1331.7,1713.1
09180,1313.2,1714.4
09190,1276.0,1676.0
10001,1356.8,1796.8
10003,1341.1,1770.8
10005,1347.9,1783.9
11001,1320.7,1763.3
12001,1440.2,1994.0
12003,1404.8,1946.4
12005,1462.2,1988.8
12007,1419.7,1967.8
12009,1496.4,2047.5
12011,1440.9,1992.1
12013,1425.6,1964.0
12015,1509.9,2099.8
12017,1498.0,2052.1
12019,1411.2,1952.2
12021,1447.8,2007.3
12023,1444.3,1999.9
12027,1482.5,2066.6
12029,1484.0,2031.5
12031,1439.9,1980.3
12033,1428.2,1949.3
12035,1426.1,1966.5
12037,1480.6,1992.9
12039,1434.0,1980.9
12041,1436.0,1981.3
12043,1486.2,2063.0
12045,1474.6,1984.3
12047,1451.8,2009.5
12049,1482.7,2066.5
12051,1476.4,2055.2
12053,1479.1,2028.1
12055,1493.5,2079.5
12057,1519.0,2103.9
12059,1430.7,1972.0
12061,1455.8,2008.6
12063,1444.2,1986.5
12065,1422.4,1970.2
12067,1439.9,1995.2
12069,1472.0,2031.1
12071,1547.6,2119.7
12073,1425.5,1973.1
12075,1486.8,2021.5
12077,1410.4,1952.3
12079,1445.0,2002.9
12081,1516.5,2093.7
12083,1460.5,2022.5
12085,1435.1,1982.1
12086,1450.5,2001.6
12087,1474.6,2030.3
12089,1415.0,1951.5
12091,1422.3,1937.2
12093,1471.0,2037.8
12095,1456.9,2011.1
12097,1463.1,2022.6
12099,1459.2,2022.7
12101,1487.5,2037.8
12103,1585.9,2136.4
12105,1484.3,2052.8
12107,1429.6,1982.1
12109,1436.7,1974.7
12111,1444.3,1992.5
12113,1419.2,1938.3
12115,1533.9,2094.7
12117,1445.8,1995.0
12119,1473.6,2038.1
12121,1449.1,2002.1
12123,1501.5,2024.7
12125,1425.6,1978.1
12127,1424.7,1966.6
12129,1454.8,1974.2
12131,1433.0,1943.4
12133,1431.5,1971.8
13001,1435.7,1970.8
13003,1453.9,2007.8
13005,1446.6,1987.3
13007,1461.7,2009.2
13009,1420.7,1950.2
13011,1401.8,1914.3
13013,1403.2,1905.2
13015,1383.5,1884.0
13017,1449.4,1986.2
13019,1454.8,2001.0
13021,1429.0,1962.1
13023,1437.4,1972.2
13025,1413.7,1954.1
13027,1454.1,2006.7
13029,1407.6,1932.9
13031,1437.8,1965.9
13033,1428.0,1949.7
13035,1408.7,1926.6
13037,1452.0,1996.8
13039,1417.7,1949.7
13043,1445.3,1971.7
13045,1386.4,1886.1
13047,1338.2,1822.7
13049,1417.2,1961.5
13051,1451.6,1957.0
13053,1408.2,1933.8
13055,1350.1,1840.9
13057,1376.4,1867.8
13059,1403.4,1917.0
13061,1432.5,1969.2
13063,1410.7,1914.0
13065,1420.4,1967.3
13067,1394.7,1886.2
13069,1446.8,1987.2
13071,1460.9,2001.2
13073,1414.4,1930.6
13075,1471.4,2020.4
13077,1403.5,1911.8
13079,1420.5,1946.5
13081,1460.1,1993.7
13083,1327.4,1799.8
13085,1375.5,1866.1
13087,1458.9,2010.9
13089,1401.7,1895.0
13091,1434.5,1968.4
13093,1459.7,1997.7
13095,1457.0,2000.9
13097,1391.6,1890.8
13099,1441.7,1980.6
13101,1431.8,1984.0
13103,1425.9,1957.4
13105,1405.9,1922.0
13107,1433.2,1956.9
13109,1430.2,1957.1
13111,1349.9,1820.9
13113,1409.4,1915.2
13115,1362.1,1857.1
13117,1398.9,1895.8
13119,1411.7,1930.8
13121,1392.2,1883.8
13123,1351.9,1832.0
13125,1418.2,1938.0
13127,1443.6,1962.2
13129,1358.5,1853.4
13131,1443.8,1990.6
13133,1412.0,1932.7
13135,1411.6,1906.6
13137,1402.9,1902.6
13139,1425.3,1936.4
13141,1417.9,1942.6
13143,1373.1,1867.9
13145,1415.3,1939.2
13147,1415.6,1931.2
13149,1390.9,1897.4
13151,1413.7,1921.7
13153,1435.2,1966.6
13155,1464.1,2003.5
13157,1397.6,1907.9
13159,1412.5,1935.7
13161,1444.6,1982.6
13163,1441.9,1969.0
13165,1441.3,1968.6
13167,1435.1,1964.7
13169,1421.4,1950.6
13171,1417.3,1938.8
13173,1461.3,2019.1
13175,1430.8,1961.2
13177,1451.2,1988.7
13179,1422.7,1954.5
13181,1409.7,1929.7
13183,1415.9,1949.0
13185,1449.7,2003.9
13187,1367.5,1854.3
13189,1419.1,1937.8
13191,1453.8,1962.7
13193,1423.4,1949.2
13195,1408.1,1923.6
13197,1425.5,1953.0
13199,1409.1,1924.6
13201,1453.5,1991.7
13205,1457.6,2000.8
13207,1419.5,1945.1
13209,1439.6,1975.6
13211,1403.8,1919.6
13213,1324.2,1802.6
13215,1406.3,1930.5
13217,1408.2,1919.0
13219,1411.7,1926.8
13221,1398.9,1912.0
13223,1377.8,1869.9
13225,1428.2,1954.7
13227,1328.3,1806.2
13229,1427.1,1967.7
13231,1412.2,1931.6
13233,1377.1,1871.8
13235,1451.4,1989.7
13237,1413.8,1938.7
13239,1427.4,1965.9
13241,1380.5,1863.8
13243,1441.6,1980.3
13245,1420.3,1937.7
13247,1414.7,1918.8
13249,1429.6,1959.0
13251,1429.2,1954.5
13253,1459.9,2007.4
13255,1422.2,1941.1
13257,1407.7,1923.0
13259,1427.1,1962.9
13261,1441.3,1974.6
13263,1424.6,1954.4
13265,1408.5,1926.6
13267,1441.8,1978.2
13269,1418.8,1939.5
13271,1442.2,1985.1
13273,1446.8,1987.2
13275,1440.9,1985.0
13277,1479.9,2023.9
13279,1439.0,1972.9
13281,1365.0,1834.7
13283,1435.8,1968.7
13285,1400.5,1914.4
13287,1458.4,1991.8
13289,1418.9,1946.2
13291,1367.9,1835.0
13293,1400.8,1921.5
13295,1336.2,1813.8
13297,1405.3,1912.1
13299,1417.9,1964.9
13301,1427.7,1951.5
13303,1444.8,1979.3
13305,1419.0,1954.1
13307,1440.5,1978.3
13309,1428.4,1961.0
13311,1361.1,1840.8
13313,1325.7,1806.2
13315,1455.7,1986.9
13317,1415.0,1938.3
13319,1423.1,1955.7
13321,1452.9,1987.9
15001,1766.4,2364.8
15003,1494.2,2001.5
15007,1367.3,1849.2
