geoid,walkability_score,nat_walk_ind,households
01001,24.0,5.56,21115.0
01003,30.7,6.83,78622.0
01005,23.0,5.37,9186.0
01007,21.4,5.07,6840.0
01009,19.4,4.69,20600.0
01011,18.1,4.43,3609.0
01013,23.2,5.41,6708.0
01015,25.1,5.76,45033.0
01017,22.5,5.27,13516.0
01019,17.9,4.39,10606.0
01021,19.4,4.69,16751.0
01023,15.4,3.93,5350.0
01025,22.9,5.34,9358.0
01027,17.3,4.29,5236.0
01029,18.8,4.57,5726.0
01031,26.4,6.01,19789.0
01033,29.1,6.52,21799.0
01035,19.3,4.67,4574.0
01037,13.0,3.46,4103.0
01039,22.1,5.2,15008.0
01041,21.6,5.1,5025.0
01043,21.9,5.17,30730.0
01045,21.7,5.12,18670.0
01047,26.9,6.1,16336.0
01049,20.2,4.84,26132.0
01051,23.2,5.4,29143.0
01053,24.5,5.65,13428.0
01055,26.5,6.04,38777.0
01057,17.7,4.36,6947.0
01059,20.7,4.93,11210.0
01061,19.2,4.65,10479.0
01063,16.8,4.2,2955.0
01065,20.2,4.85,5658.0
01067,19.2,4.65,6669.0
01069,30.1,6.71,39253.0
01071,19.9,4.79,20626.0
01073,42.7,9.12,260924.0
01075,20.3,4.85,5974.0
01077,26.5,6.04,38514.0
01079,14.5,3.75,12811.0
01081,27.6,6.24,59373.0
01083,22.3,5.24,32126.0
01085,14.5,3.76,4180.0
01087,17.8,4.39,7637.0
01089,35.2,7.69,145256.0
01091,24.3,5.62,7768.0
01093,21.4,5.06,12212.0
01095,25.6,5.86,34896.0
01097,31.5,6.99,155831.0
01099,18.7,4.55,8149.0
01101,55.4,11.53,89835.0
01103,27.2,6.17,45646.0
01105,18.3,4.48,3079.0
01107,18.2,4.46,7530.0
01109,24.9,5.72,11547.0
01111,20.4,4.88,8643.0
01113,26.7,6.07,22740.0
01115,24.5,5.65,32172.0
01117,29.0,6.51,78328.0
01119,18.1,4.45,5047.0
01121,22.8,5.33,31407.0
01123,21.1,5.01,16448.0
01125,29.9,6.69,72379.0
01127,22.9,5.34,25036.0
01129,14.4,3.74,6007.0
01131,18.7,4.56,3804.0
01133,20.9,4.97,9403.0
02013,26.4,6.01,860.0
02016,17.2,4.27,1176.0
02020,48.8,10.28,106524.0
02050,16.6,4.16,4558.0
02060,33.3,7.33,333.0
02068,26.3,6.0,639.0
02070,19.2,4.65,1420.0
02090,25.7,5.88,36513.0
02100,28.7,6.45,1026.0
02105,27.7,6.27,799.0
02110,49.3,10.36,12521.0
02122,26.2,5.99,21741.0
02130,36.4,7.91,5327.0
02150,29.9,6.69,4373.0
02158,23.1,5.39,1692.0
02164,26.8,6.1,425.0
02170,24.1,5.57,30879.0
02180,32.3,7.13,2875.0
02185,24.9,5.72,1966.0
02188,28.0,6.32,1860.0
02195,38.8,8.37,1170.0
02198,25.9,5.93,2356.0
02220,63.3,13.02,3561.0
02230,30.7,6.83,400.0
02240,22.1,5.2,2163.0
02261,24.1,5.57,3093.0
02275,24.8,5.71,1074.0
02282,32.5,7.17,232.0
02290,22.3,5.23,1906.0
04001,17.5,4.32,20395.0
04003,26.8,6.08,49250.0
04005,40.0,8.59,47276.0
04007,24.5,5.66,21708.0
04009,24.3,5.61,10782.0
04011,14.7,3.79,3225.0
04012,19.5,4.7,8912.0
04013,53.5,11.17,1520767.0
04015,31.0,6.9,85485.0
04017,24.4,5.64,34407.0
04019,47.5,10.03,400907.0
04021,26.8,6.1,137286.0
04023,24.0,5.57,15430.0
04025,32.6,7.19,96007.0
04027,47.5,10.02,72463.0
05001,27.9,6.3,7682.0
05003,22.3,5.23,7915.0
05005,26.3,6.0,18370.0
05007,29.5,6.61,94333.0
05009,27.6,6.25,14870.0
05011,22.9,5.34,4537.0
05013,17.3,4.29,1936.0
05015,22.9,5.36,11161.0
05017,25.1,5.77,4308.0
05019,26.8,6.08,8505.0
05021,24.1,5.59,6441.0
05023,23.9,5.55,10731.0
05025,12.5,3.38,3292.0
