county_fips,pct_pop_hb_violation,cws_pop,n_cws
01001,0.00,71034,6
01003,4.17,305757,15
01005,1.84,35958,9
01007,16.77,27603,5
01009,27.68,68910,11
01011,0.00,13743,3
01013,10.53,27447,4
01015,20.51,152334,8
01017,0.00,35558,5
01019,0.00,22938,3
01021,0.00,50244,5
01023,70.44,18096,5
01025,7.67,35610,8
01027,12.97,11910,5
01029,0.00,15543,4
01031,7.95,67476,6
01033,19.86,81588,10
01035,3.56,14331,7
01037,38.73,15105,6
01039,0.00,46955,10
01041,0.00,21744,7
01043,0.00,140693,10
01045,1.83,69139,10
01047,0.00,42510,6
01049,0.00,81195,5
01051,11.39,110629,10
01053,2.08,43326,9
01055,5.52,124954,17
01057,7.57,19809,5
01059,0.00,39507,6
01061,0.00,23725,6
01063,0.00,9963,3
01065,0.00,18957,4
01067,0.00,23001,5
01069,2.82,126654,11
01071,38.68,114573,8
01073,4.84,798908,11
01075,0.00,15471,6
01077,3.90,125019,7
01079,0.00,26781,3
01081,5.13,202404,6
01083,31.34,138558,4
01085,0.00,12825,6
01087,0.00,24813,5
01089,0.00,607701,9
01091,1.79,25983,7
01093,22.01,35271,8
01095,2.16,141900,9
01097,67.21,461361,14
01099,31.17,28218,7
01101,0.00,291756,8
01103,0.00,159489,6
01105,0.00,10638,3
01107,0.00,27330,5
01109,7.59,40299,5
01111,0.00,28323,5
01113,22.95,73737,4
01115,1.87,91915,16
01117,19.27,212655,16
01119,0.00,19668,4
01121,0.66,89498,12
01123,6.00,68385,8
01125,67.01,272754,10
01127,21.00,87495,15
01129,9.18,18627,11
01131,61.72,16614,6
01133,6.09,31131,5
02013,92.81,2532,6
02016,8.00,10254,6
02020,0.68,290150,69
02050,73.27,14826,34
02060,51.97,127,2
02068,40.93,733,2
02070,70.84,5155,11
02090,13.38,155105,24
02100,100.00,2489,2
02110,0.64,38776,2
02122,23.55,25978,27
02130,19.43,14301,13
02150,6.14,13625,8
02164,58.60,1790,9
02170,8.00,44807,80
02180,43.61,10325,17
02185,56.81,8625,9
02188,93.64,7620,11
02220,1.00,9543,2
02230,12.92,11071,4
02240,15.32,2246,8
02261,3.12,10372,18
02270,92.28,7517,12
02275,45.76,5933,3
02282,0.00,740,1
02290,58.86,5520,27
04001,16.40,18292,18
04003,52.46,119140,53
04005,30.97,159623,38
04007,39.37,53855,43
04009,98.86,27310,7
04011,71.71,7613,7
04012,20.61,14339,20
04013,5.04,4377674,100
04015,28.25,219228,60
04017,13.06,95401,43
04019,2.50,1065666,143
04021,29.23,500219,64
04023,48.68,47593,17
04025,35.96,197032,107
04027,76.64,212511,29
05001,2.10,28631,9
05003,17.90,20324,9
05005,7.61,36341,16
05007,0.48,403077,28
05009,3.95,36792,13
05011,0.00,11749,7
05013,0.00,6623,6
05015,35.10,21048,19
05017,52.77,10989,7
05019,0.00,21365,9
05021,0.00,22599,13
05023,33.41,55760,7
05025,13.67,13355,6
05027,13.17,22695,12
05029,91.93,33943,5
05031,0.21,115523,12
05033,4.68,57158,14
05035,29.97,46921,12
05037,1.48,21797,7
05039,4.78,7218,5
05041,60.09,12982,10
05043,11.20,14899,11
05045,18.34,151860,10
05047,16.54,29164,10
05049,8.50,14571,8
05051,0.00,102006,6
05053,0.00,44911,10
05055,0.00,129980,7
05057,29.61,18091,10
05059,0.00,42067,5
05061,47.83,15243,7
05063,13.35,47808,13
05065,0.00,13157,8
05067,24.50,27976,13
05069,0.00,68284,11
05071,21.13,31098,10
05073,4.54,6056,6
05075,0.00,21285,11
05077,44.94,8877,4
05079,0.00,14487,5
05081,2.96,11403,8
05083,61.87,36951,18
05085,21.97,76739,11
05087,0.00,21255,4
05089,3.03,16121,9
05091,1.80,53065,5
05093,18.48,41629,21
05095,28.58,7173,6
05097,100.00,4361,3
05099,83.03,7660,5
05101,29.12,16248,13
05103,19.05,24726,10
05105,12.15,12344,7
05107,52.15,16469,8
05109,42.66,8873,7
05111,0.60,120492,13
05113,6.91,18736,9
05115,48.93,70423,9
05117,4.86,12347,7
05119,0.00,464004,10
05121,0.00,22464,9
05123,3.89,28332,10
05125,0.00,121037,14
05127,0.00,15088,2
05129,5.27,17639,9
05131,6.44,133323,15
05133,1.51,13952,6
05135,6.55,18115,12
05137,5.35,16500,6
05139,57.69,39397,24
05141,50.60,41231,6
05143,3.37,285435,12
05145,9.49,82220,15
05147,16.45,15217,7
05149,74.06,22855,8
06001,0.03,2227280,14
06003,7.92,8771,5
06005,36.40,37794,21
06007,5.51,198056,41
06009,30.86,50864,19
06011,2.92,17513,9
06013,0.29,560206,38
06015,2.89,25331,16
06017,0.06,261912,18
06019,8.88,984718,103
06021,1.29,18967,13
06023,4.51,121813,45
06025,40.06,171738,30
06027,36.11,16592,41
06029,15.17,970481,166
06031,28.16,149820,13
06033,15.16,66416,44
06035,0.80,18755,15
06037,1.12,10058958,193
06039,11.08,137789,68
06041,0.03,276967,15
06043,6.32,6552,11
06045,18.70,61023,41
06047,41.51,240326,22
06049,85.45,4922,5
06051,36.35,18489,18
06053,1.67,439622,157
06055,11.19,128683,28
06057,4.12,94414,21
06059,0.01,3195121,38
06061,0.64,417296,52
06063,34.90,24736,27
06065,3.34,2582090,91
06067,14.67,1618462,62
06069,50.39,61256,31
06071,3.31,2481361,143
06073,3.77,3500548,80
06075,0.00,856393,5
06077,26.81,741612,94
06079,8.88,269308,70
06081,0.08,779366,36
06083,0.24,464845,61
06085,53.04,2076233,73
06087,11.33,252917,52
06089,13.93,168512,59
06091,42.75,3530,8
06093,78.75,28657,32
06095,32.63,460757,26
06097,1.12,441017,129
06099,20.31,488517,60
06101,0.09,83115,8
06103,14.17,36232,49
06105,61.65,9591,17
06107,38.28,427918,92
06109,18.13,63965,49
06111,2.49,871643,65
06113,22.79,248106,17
06115,0.25,76516,22
08001,9.16,708670,64
08003,0.66,12969,4
08005,0.03,862770,28
08007,6.68,13333,7
08009,88.54,2504,6
08011,90.20,3061,4
08013,0.50,428162,41
08014,97.58,108783,3
08015,14.49,15438,18
08017,0.00,1265,3
08019,10.82,18562,11
08021,14.67,4479,8
08023,5.94,2355,8
08025,0.00,2942,6
08027,0.00,2032,3
08029,29.18,26275,30
08031,0.01,1312794,5
08033,66.05,1287,2
08035,0.17,410753,27
08037,0.68,90031,23
08039,7.61,12399,15
08041,3.24,742261,74
08043,14.76,53239,16
08045,33.83,50685,56
08047,0.00,18917,2
08049,23.90,30371,23
08051,4.09,20762,20
08053,89.76,654,2
08055,80.79,5722,10
08057,0.00,683,2
08059,0.71,555599,47
08061,23.63,859,3
08063,14.95,7491,6
08065,0.53,9071,7
08067,5.51,54489,55
08069,7.27,488138,46
08071,2.53,14236,14
08073,13.44,7725,6
08075,4.34,17059,9
08077,0.13,162182,21
08079,0.00,2082,3
08081,3.46,10114,6
08083,3.41,28039,10
08085,2.00,56033,20
08087,1.52,28903,8
08089,27.39,19329,23
08091,63.58,3869,5
08093,50.59,3487,11
08095,1.18,3545,3
08097,16.52,41174,27
08099,26.80,11670,10
08101,21.76,162362,18
08103,0.55,5046,4
08105,1.99,7327,9
08107,57.45,38671,23
08109,14.65,5958,5
08111,0.00,2387,1
08113,39.37,20954,12
08115,86.73,1711,3
08117,40.38,71775,24
08119,67.65,18110,24
08121,100.00,2979,2
08123,8.83,360554,58
08125,3.48,6758,4
09001,0.55,747901,61
09003,5.08,823516,47
09005,2.83,109271,76
09007,3.29,76494,50
09009,0.06,708665,31
09011,4.99,185198,88
09013,10.74,42962,69
09015,9.26,45979,53
10001,0.27,148290,62
10003,0.00,528856,31
10005,0.74,345080,113
11001,5.40,668435,3
12001,0.09,222701,15
12003,0.00,10228,4
12005,19.01,204717,10
12007,0.20,15048,7
12009,20.70,722613,27
12011,20.50,1910047,37
12013,0.00,4300,2
12015,0.27,258549,19
12017,0.68,119183,52
12019,0.05,179375,12
12021,0.34,376613,10
12023,4.77,23576,18
12027,29.39,22759,10
12029,2.06,4850,4
12031,0.01,932353,21
12033,0.00,347475,12
12035,0.06,132066,10
12037,51.26,20497,6
12039,0.38,37757,15
12041,0.00,3475,2
12043,60.34,6714,6
12045,25.97,24211,5
12047,0.00,7969,3
12049,0.90,15692,9
12051,0.39,33930,9
12053,0.29,169901,15
12055,4.17,96058,29
12057,0.07,1651821,186
12059,12.60,4898,7
12061,0.00,167409,3
12063,7.45,23418,15
12065,0.00,8752,5
12067,0.00,2455,2
12069,3.11,422515,136
12071,24.54,718686,20
12073,0.07,234605,24
12075,9.66,11446,13
12077,44.66,6879,8
12079,87.26,9317,5
12081,3.41,428473,7
12083,2.06,261772,130
12085,5.52,157852,16
12086,0.00,3286862,25
12087,100.00,30000,1
12089,0.40,61464,11
12091,7.87,282700,21
12093,7.72,23325,9
12095,0.21,1616684,45
12097,0.41,327230,28
12099,54.20,1582826,33
12101,0.47,398563,67
12103,5.00,1147776,12
12105,13.60,646447,149
12107,57.95,26183,31
12109,0.39,218557,21
12111,3.78,327992,20
12113,0.01,220672,15
12115,0.00,481933,14
12117,6.87,508899,38
12119,0.80,171162,24
12121,29.68,13310,7
12123,64.48,11291,3
12125,0.00,4875,2
12127,0.58,547431,48
12129,43.43,30426,7
12131,0.94,123608,9
12133,27.36,9138,6
13001,0.00,6711,4
13003,41.16,4186,5
13005,0.00,4161,2
13007,0.00,834,2
13009,99.79,43822,5
13011,35.79,11249,7
13013,11.73,85749,8
13015,0.00,108364,8
13017,0.00,15414,2
13019,0.00,8014,4
13021,0.00,130597,4
13023,0.00,9614,2
13025,0.00,2726,8
13027,0.00,9119,14
13029,0.00,37375,44
13031,0.12,80276,122
13033,0.00,8591,7
13035,0.00,35630,4
13037,22.99,5307,5
13039,43.57,57937,11
13043,0.00,5447,9
13045,0.00,107402,10
13047,4.35,67936,3
13049,0.00,6751,4
13051,11.68,333285,83
13053,0.00,2956,1
13055,0.00,23813,5
13057,0.00,273023,8
13059,98.14,127473,11
13061,0.00,2678,3
13063,0.00,298449,2
13065,0.00,3895,4
13067,0.00,803382,4
13069,0.22,24161,31
13071,0.00,25461,33
13073,86.78,143776,6
13075,0.00,9842,8
13077,62.15,154677,13
13079,0.00,6180,4
13081,0.00,17190,13
13083,0.00,16285,1
13085,0.00,28917,5
13087,4.10,18286,10
13089,0.00,1832893,2
13091,0.00,11351,4
13093,0.00,9265,6
13095,0.00,105353,6
13097,0.00,127084,1
13099,0.00,6218,3
13101,100.00,1026,2
13103,0.00,49904,71
13105,0.00,9461,6
13107,7.00,15595,14
13109,0.00,6362,7
13111,0.00,17064,21
13113,0.57,105240,12
13115,0.00,98177,4
13117,0.00,222696,8
13119,29.03,19421,7
13121,4.05,1636505,10
13123,0.00,17462,14
13125,97.73,1673,3
13127,0.00,88617,50
13129,0.00,53934,3
13131,0.00,11928,12
13133,1.16,24740,22
13135,0.00,997144,5
13137,12.19,39382,14
13139,0.00,149723,9
13141,36.82,7885,7
13143,48.28,25310,5
13145,0.00,32757,9
13147,0.33,16603,27
13149,89.10,9172,2
13151,0.00,229763,7
13153,0.00,251970,7
13155,0.00,3688,5
13157,38.27,88298,10
13159,46.27,8740,5
13161,90.54,6382,5
13163,0.81,11871,7
13165,0.00,6672,2
13167,0.00,4262,3
13169,0.00,23390,5
13171,17.17,13101,3
13173,57.93,4692,8
13175,0.00,28483,18
13177,74.98,26931,16
13179,0.00,74981,42
