pwsid,pop_served,years_in_violation
010106001,22171,0
010109005,31961,0
010307001,89,0
020000001,296,0
020000004,288,0
020000005,5500,0
020000008,4999,0
020000012,1200,0
020000016,64,1
020011102,40,0
040000002,5961,0
041200001,6538,0
041200002,2132,0
041200003,9300,0
041200004,5221,0
041210001,955,1
042800001,919,0
042800002,1201,0
042800003,13055,0
042800004,1114,0
043700056,233,1
043740039,16203,2
043740040,164,0
043740043,103,0
055293101,857,0
055293201,10198,0
055293302,350,0
055293304,1090,0
055293401,1740,0
055293501,147,0
055293502,52,0
055293504,240,0
055293601,2135,0
055293603,7284,0
055293611,4382,0
055293702,2802,0
055293801,99,0
055293802,35,0
055293901,271,0
055294101,820,2
055294201,333,0
055294202,112,0
055294204,186,1
055294205,105,0
055294207,45,0
055294208,30,0
055294214,2086,0
055294301,4220,0
055294304,55,0
055294305,400,0
055294401,295,2
055294402,450,2
055294404,61,0
055294405,82,0
055294501,300,0
055294502,6699,0
055294503,4000,0
055294506,24959,0
055294602,2099,1
055294603,371,1
055294701,462,1
055294702,85,0
055294703,65,0
055294704,388,1
055294705,50,2
055294802,99,0
055294804,434,0
055294902,1900,0
055295003,2805,0
055295011,5230,0
055295012,126,0
055295013,196,0
055295015,2002,0
055295016,132,0
055295102,1839,0
055295103,322,0
055295104,242,0
055295201,851,0
055295205,634,0
055295207,39,0
055295301,150,0
055295310,3030,0
055295401,2962,0
055295504,68,0
055295505,100,0
055295507,310,0
055295508,3960,0
055295509,100,0
055295510,1162,0
055295601,1260,0
055295703,4393,0
055295704,691,0
055295705,38,0
055295706,63,0
055295802,2080,1
055295901,144,0
055295902,1281,0
061000101,796,0
061020808,5780,0
061620001,9384,0
061800001,8103,0
061870043,4104,0
061870124,950,0
062002156,487,0
062004108,479,0
062004183,499,0
062004336,8376,0
062005883,1886,0
062005885,400,0
063003614,360,0
063006122,290,1
063500006,3064,0
063500007,33,0
063500108,1200,0
063500110,3200,1
063500113,150,0
063500114,490,0
063500116,608,0
063500119,800,1
063500120,5328,0
063500122,800,0
063500123,775,1
063500166,2500,0
063500191,2652,0
063501001,2374,1
063501100,3644,0
063501109,8941,0
063501111,236,0
063501117,2200,0
063501124,11888,0
063501160,4335,0
063501233,1961,0
063502084,114,0
063502111,757,0
063502233,750,0
063503013,845,0
063503109,4403,0
063503111,4500,0
063503115,3789,0
063503233,951,0
063504118,759,0
063506008,14542,0
063506193,400,0
063506233,173,0
063507009,333,0
063507011,25,0
063509008,33,0
063568423,450,1
064026001,485,0
070000002,520,5
070000003,4765,0
070000004,630,2
070000005,787,0
070000006,160,0
070000007,1800,1
070000008,192,2
070000010,160,0
070000013,54,0
070000025,145,0
073104305,820,0
073117301,780,0
073117303,120,0
073117307,156,0
073117308,1100,0
073120301,448,0
080890001,1527,0
080890010,2020,2
083090002,66,1
083090003,56,0
083090004,645,0
083090005,400,0
083090007,250,1
083090008,300,0
083090009,250,1
083090011,2057,1
083090012,406,1
083090014,281,0
083090021,35,0
083090022,25,0
083090023,72,0
083090024,220,0
083090025,40,0
083090026,50,0
083090027,124,0
083090029,87,0
083090030,85,0
083090031,356,0
083090032,225,0
083090033,101,0
083090034,200,0
083090036,276,0
083090038,32,1
083090041,2600,5
083090044,840,0
083090045,80,0
083090047,220,0
083090050,1726,0
083090051,3025,0
083090052,130,0
083090053,452,0
083090057,375,0
083090058,3000,0
083090061,210,0
083090062,96,1
083090063,535,0
083090064,2605,1
083090074,400,0
083090075,2000,0
083090079,1442,0
083090090,1504,3
083090091,4671,0
083090305,66,0
083090309,116,0
083090312,55,5
083890001,1034,0
083890002,952,0
083890003,792,0
083890015,1200,0
083890016,1500,0
083890017,720,1
083890023,13500,1
083890025,4400,0
083890026,2360,1
083890029,2528,0
083890030,1200,0
083890040,160,0
083890041,83,1
083890042,65,0
084690020,2450,1
084690021,2179,2
084690022,1690,0
084690025,195,0
084690026,25,0
084690027,214,0
084690029,78,1
084690030,65,1
084690032,125,0
084690033,380,0
084690437,516,1
084690438,80,0
084690439,130,0
084690440,1357,1
084690441,1637,0
084690456,95,0
084690457,265,0
084690458,1180,0
084690460,230,0
084690461,129,0
084690462,60,0
084690463,60,1
084690465,375,0
084690466,400,0
084690467,280,1
084690468,428,1
084690471,773,0
084690472,95,0
084690474,6526,0
084690475,7482,0
084690478,255,1
084690480,3562,0
084690481,420,0
084690483,65,0
084690484,104,1
084690485,316,1
084690498,50,0
084690510,6839,1
084690512,501,0
084690516,5610,1
084690526,176,0
084690528,5500,1
084690532,1500,0
084690533,420,0
084690534,264,0
084690535,180,0
084690536,200,0
084690538,1450,0
084990002,3750,1
084990003,812,0
084990004,300,0
085690002,1950,1
085690003,2620,0
085690004,4100,0
085690008,650,0
090400001,1318,0
090400003,420,0
090400004,105,0
090400005,64,0
090400006,740,0
090400008,70,0
090400016,80,0
090400018,165,0
090400019,67,0
090400020,1151,0
090400027,80,0
090400029,120,0
