geoid,p25,median,p75,units
00000,1959,1980,2000,143775355
01001,1975,1994,2006,25039
01003,1985,1999,2009,132258
01005,1965,1983,1996,11762
01007,1973,1990,2003,9133
01009,1973,1990,2002,24918
01011,1973,1987,1998,4579
01013,1966,1979,1992,9885
01015,1962,1979,1996,53361
01017,1956,1979,1998,16435
01019,1969,1986,2001,14702
01021,1971,1988,2003,19839
01023,1970,1984,1998,7200
01025,1967,1981,1994,11749
01027,1963,1984,1999,7106
01029,1968,1989,2001,6874
01031,1971,1987,2004,24656
01033,1962,1979,2002,28040
01035,1967,1982,1995,6444
01037,1967,1985,2000,6058
01039,1963,1979,1996,18714
01041,1970,1982,1998,6583
01043,1971,1987,2002,39871
01045,1969,1983,1998,22968
01047,1962,1977,1994,18936
01049,1967,1984,1998,30963
01051,1977,1995,2008,37323
01053,1968,1983,1997,16816
01055,1958,1975,1995,47603
01057,1964,1980,1997,7810
01059,1968,1983,1998,14002
01061,1963,1979,1997,12584
01063,1967,1981,1996,4279
01065,1968,1985,1998,7594
01067,1967,1982,2000,9215
01069,1970,1985,2001,50158
01071,1968,1985,1998,24914
01073,1957,1975,1995,310789
01075,1963,1978,1992,7123
01077,1964,1980,1998,44936
01079,1972,1990,2002,15403
01081,1981,1997,2009,79619
01083,1979,1998,2012,44354
01085,1974,1991,2003,4847
01087,1967,1979,1994,9653
01089,1973,1992,2008,178607
01091,1967,1982,1996,9867
01093,1965,1978,1995,14220
01095,1969,1986,2000,41762
01097,1965,1980,1997,186082
01099,1972,1984,1997,10208
01101,1964,1979,1997,106121
01103,1968,1983,1999,53905
01105,1968,1985,1998,3962
01107,1965,1979,1996,8729
01109,1970,1986,2004,16238
01111,1969,1986,2000,12505
01113,1967,1985,2004,27711
01115,1982,1998,2008,39247
01117,1985,1997,2007,91995
01119,1969,1979,1995,6356
01121,1965,1984,1999,38547
01123,1968,1985,2000,23161
01125,1973,1992,2007,104290
01127,1966,1983,1999,30366
01129,1970,1984,1999,7797
01131,1971,1985,1997,5334
01133,1971,1988,2001,13160
02013,1969,1981,1990,1245
02016,1980,1990,1998,1356
02020,1973,1982,1995,120348
02050,1978,1988,2002,6011
02060,1975,1985,1995,798
02063,1971,1979,1991,3922
02066,1972,1985,2000,2442
02068,1977,1989,2002,1301
02070,1976,1985,1996,2399
02090,1974,1985,2000,42680
02100,1971,1987,2004,1379
02105,1973,1984,1996,1753
02110,1971,1982,1994,14249
02122,1979,1990,2005,32836
02130,1957,1977,1990,6698
02150,1974,1987,2000,5854
02158,1978,1989,2003,2346
02164,1978,1986,1996,1336
02170,1983,1997,2008,51170
02180,1975,1985,1996,4102
